sum_circ_mm,year
1083.4941,2021.0
1037.5016,2018.0
997.0282,2011.0
985.073,2003.0
697.3214,2020.0
910,1991.0
1317.136,1921.0
930.799,2011.0
1152.5701999999999,2018.0
978.6308,2011.0
894.8822,2018.0
1344.7314999999999,2018.0
1580.2131,2004.0
1438.5562,2018.0
720,2018.0
1310,2018.0
1331,2018.0
1485,1985.0
1236,2018.0
1151.563,2006.0
2016.222,2001.0
1382.342,2003.0
686,2018.0
1255,2018.0
1692,2021.0
712,2018.0
388.0875,2018.0
738.1220000000001,2020.0
1870,2020.0
555,2020.0
1152.5701999999999,2018.0
1102,2018.0
1280.342,2018.0
1017.284,2018.0
1339.3939999999998,1921.0
985.99,2005.0
1006.5469999999999,1999.0
1259.9402,1905.0
1268,2003.0
1061.4177,2011.0
1025,2012.0
535.2635,1997.0
921,2005.0
1423.8386,2018.0
573.8972,2011.0
1232,2016.0
778.9226,2011.0
892,2018.0
1061.4177,2018.0
1320.8154,2006.0
1037.5016,2018.0
1695,2014.0
958.55179435,1992.0
583.5092,2018.0
746.829,2018.0
980,2004.0
967.4403049,2006.0
691.638,1929.0
426.7212,2020.0
851,2003.0
810,2010.0
1350.1309999999999,2020.0
1443,2016.0
1060,2018.0
725,2017.0
1410.2582,2018.0
587.804,2020.0
1455.3536,1988.0
1179.1585,2018.0
1269.3038000000001,2018.0
710.2058,2015.0
1363.1285,1988.0
1163.3072,2018.0
894.8822,2014.0
583.5092,2018.0
590.4545,2000.0
1098.8852,1997.0
946,2018.0
1015.4252,2019.0
1169.96,2019.0
480.0725,2006.0
1204.1077999999998,2019.0
915,2018.0
747,2018.0
573.8972,2018.0
884.4808731,2015.0
968.9406959925125,2018.0
608.8515,2018.0
968,2018.0
1094,2018.0
909.914,2010.0
719.2335,2016.0
1539.1021999999998,2018.0
1332,1957.0
1371.605,2011.0
345,2018.0
697.3214,2005.0
1089,2018.0
1116.6087,1972.0
747,2018.0
789.6596,2020.0
811.1336,2011.0
930.799,2018.0
397.286,2016.0
936.3181,2017.0
738.1220000000001,2019.0
1055.8986,2017.0
1425.29,2006.0
765,2011.0
1704.4519999999998,2016.0
908.7226,2019.0
866.966,2018.0
850,2018.0
892.1653,2001.0
810,2018.0
728,2020.0
941.8372,1988.0
1245,1977.0
551.8208,2011.0
948.5672,2010.0
1597.0819999999999,2001.0
1215.9524999999999,2018.0
1694.2745,2017.0
1107.4101999999998,2011.0
972.1886,2008.0
664.0425,2011.0
1046.7001,1954.0
1254.5862,2011.0
759.596,2020.0
802.544,2003.0
613.5728,2016.0
431,2018.0
460,2018.0
1343.6888,2021.0
523.3820000000001,2020.0
759.596,2017.0
770,2018.0
1070.969,2016.0
622,2017.0
895,2018.0
914.2088,2007.0
829.6155,2018.0
985.99,2006.0
912.0614,2010.0
1423,2006.0
681,2010.0
980,2006.0
1438.5562,2018.0
1672.241,2006.0
570.2178,2019.0
446.9579,2018.0
1050,2017.0
875.608,2003.0
1302.8881999999999,2018.0
1041.181,2009.0
1445.915,2003.0
810,2006.0
1686.9157,2013.0
825.9361,2006.0
1382.342,2014.0
1363.0153999999998,2020.0
1826.7329,2024.0
829.6155,2024.0
647.4539251000001,2025.0
803.8597,2025.0
866.7038520000001,2023.0
1440,2023.0
810,2024.0
1125.8072,2024.0
1107.4101999999998,2024.0
1002.9943470999999,2024.0
