model,trait,y_star_log,lower_log,upper_log,y_star,lower,upper
common_xi,CF,7.407362979878015,6.048116247388749,8.76660971236728,1648.0746056740345,423.3148580322858,6416.38216644043
common_xi,CH,7.404365093954319,5.852587408129291,8.956142779779348,1643.1412645043008,348.13398085233644,7755.38546540788
free_xi,CF,7.083263186917392,6.891834598658147,7.274691775176637,1191.8514136978092,984.2053838114197,1443.3062607648214
free_xi,CH,6.261284649370497,5.851295526879386,6.671273771861608,523.8915249153686,347.68452347530786,789.4004804549267
