xi,sigma1,sigma2,dep,y_CF_star_log,y_CH_star_log,CF_star,CH_star
-0.38035921279664175,0.235505457273022,0.292949480422531,0.148712422562056,7.225816093976383,7.1999111036568815,1374.4598464535716,1339.3116991899117
-0.13218607567423557,0.15986238177946227,0.2711376667904354,0.2443619177961644,7.816024025039102,8.480901233813759,2480.025261111237,4821.793502621931
-0.3894568699371933,0.19345832254453016,0.21821694739295505,0.24679616605020688,7.103388945937461,6.9900304244814135,1216.0813329480818,1085.7545092012967
-0.7588995174644746,0.2920081996930476,0.48688552240230876,0.16335559754337475,6.991428662100615,7.071287315674639,1087.2737138583186,1177.6630830131433
-0.2521853035930205,0.16704378697221686,0.21265763349503433,0.3688999448100397,7.269035283950755,7.272978900635086,1435.1652580263672,1440.8361742931354
-0.5075811050022714,0.21830673184032634,0.282142105518908,0.10106740839899392,7.0367424998972234,6.985575680601377,1137.6755856199243,1080.9285082262575
-0.64666056108323,0.2763381227432191,0.3339931170351319,0.326762179084305,7.033981214829869,6.946208556135466,1134.5384722393192,1039.2021727398874
-0.3106820201855063,0.18280342366954938,0.1646416419322118,0.323850912530922,7.195044144626832,6.959655654693021,1332.8091606514383,1053.270805931048
-0.33500158695369764,0.16014301475821893,0.19725444462199165,0.3411864361761585,7.084686771679684,7.018535926390038,1193.5493234817657,1117.1498302653172
-0.8205006273515212,0.33811849807146077,0.35496671516189215,0.20029858165744616,7.0187382295222855,6.862341591086976,1117.3758560372592,955.6020790393745
-0.715320529933188,0.31406300490739547,0.40261990271772535,0.3953949489276959,7.045702319843435,6.9925719139329185,1147.9147560876029,1088.517452341586
-0.36184014510954143,0.15517548704396966,0.2131721247477008,0.39334298486472913,7.035501128088571,7.018852905130723,1136.2641834392305,1117.5039991407075
-0.5912067893266353,0.19957130369767323,0.29111116277123583,0.29390933142260023,6.944216173769126,6.922121067511413,1037.133745888684,1014.4694723744212
-1.122183167683445,0.34601594913001266,0.33690770447360974,0.2910322356144038,6.914991960602391,6.729944712364384,1007.2629296787696,837.1009833405859
-1.1851714715640438,0.39835964782481725,0.5176271553586679,0.31850153784207047,6.942770028248675,6.86647244398386,1035.6349835433855,959.5576950649358
-0.5768633677668784,0.2725573828966402,0.34113399039138115,0.22345881451254457,7.079131883123692,7.021079598048075,1186.9376705026677,1119.9951098206832
-0.5809501255555327,0.249263675567169,0.2596981254165807,0.2515810467732901,7.0357122770770335,6.876742576912289,1136.5041298035144,969.463258807789
-0.35381299526554855,0.20143963036816437,0.2036785254064968,0.3667036005446266,7.1759894503396495,7.005386647227282,1307.6533191172423,1102.5562729327453
-0.49402177655609464,0.23840842459285685,0.28603201414715673,0.3191824130280202,7.089237059705777,7.0087061294801565,1198.9926917315101,1106.2222701536077
-0.286340059609091,0.18450897122278193,0.214399715782125,0.4304971920710437,7.251020280535249,7.17847854470561,1409.542243321347,1310.912245831967
-0.45926634794009913,0.20625896600898486,0.3104055731707227,0.27635714860998745,7.055755518940527,7.105592148795341,1159.5131745978556,1218.7635604769425
