trait,u0,xi_hat_diag,sigma_hat_diag,wald_p_xi_lt_0
CF,6.606650186198215,-0.3912384534715102,0.19022461019810208,0.021596556345005128
CH,6.429719478039138,-0.29232398056847975,0.1730112041325769,0.16377238203202885
