xi,sigma1,sigma2,dep,y_CF_star_log,y_CH_star_log,CF_star,CH_star
-0.3255248983912438,0.1931963533931374,0.23048360161948622,0.34222204794305866,7.200141972380842,7.137756260351473,1339.620940068539,1258.6012450815401
-1.6672951090556385,0.27557948840153745,0.3799194151204528,0.6569018485128635,6.771935555839602,6.657585206821633,872.9999999999998,778.6683420022141
-0.248935620820403,0.13383198737791335,0.28252001200145177,0.23481130244909096,7.1442670484891595,7.564631432665665,1266.8224654082962,1928.757770926828
-0.5869464869922614,0.26123585762938417,0.40573002320628593,0.21367594762099593,7.051726293507515,7.120975039147275,1154.850634146032,1237.6566089805415
-0.4284032945441828,0.2029688171127352,0.2858816280216247,0.2531541697126508,7.0804299626322225,7.097038407800871,1188.4794104046503,1208.3830321147761
-0.4755183283386776,0.21323323270675765,0.35335829196510954,0.200584961954568,7.05507292828627,7.172820786456923,1158.721971805923,1303.516363046872
-0.5072940815039134,0.231423437577491,0.2883834284157002,0.36046926753536757,7.06284205993626,6.998193345427389,1167.759295973984,1094.6537097467226
-0.2999098211690648,0.17433597709550155,0.13211897246870352,0.2057480133899615,7.187944844759014,6.870248474234383,1323.38065624318,963.1878634480707
-0.4623755190388346,0.21726909159959612,0.18264757720657085,0.30932489269517727,7.076547667040725,6.824739477338085,1183.8743269606941,920.3366042737947
-0.29723644363476043,0.16668339889311007,0.29396248806591885,0.24566418063838508,7.167427313171004,7.418704827450515,1296.5048076802111,1666.8732206356176
-0.21042412607792355,0.15986982082776427,0.1877659138376922,0.3973166754125197,7.366400618848518,7.322040702498729,1581.9295559325237,1513.2889935151652
-0.7829765665796631,0.19660459592294177,0.20280732674031582,0.4225081167312433,6.857749138982696,6.688740418635425,951.2235839705094,803.3097806030718
-0.8192663125863295,0.21500727326132885,0.21287548256970823,0.31074421150701265,6.869088992674434,6.689556211588799,962.071712085144,803.9653824427854
-0.18025053962769375,0.16064268073153837,0.21608007504355997,0.2675176495319782,7.497869047807976,7.628495778458942,1804.1936647169694,2055.9550807639716
