"target_cm","probability","lower95","upper95","empirical_probability"
350,0.418563836262476,0.347054127597337,0.488423827442446,0.45578231292517
375,0.134897833109921,0.0893339956467542,0.184089990977889,0.136054421768707
400,0.0249242308674704,0.00679891902567745,0.0418908048877111,0.0340136054421769
