"TL_cm","estimate","lower95","upper95"
325,0.0716723549488055,0.060945880058508,0.0828863968795709
325.503604704817,0.0705475306661169,0.0600233857900061,0.0815447000661502
326.007209409634,0.0694362037329281,0.0591108229369754,0.0802189575938835
326.51081411445,0.0683382534142474,0.0581651138382002,0.0789204263236934
327.014418819267,0.0672535598631909,0.0572303208559829,0.0776855656185506
327.518023524084,0.0661820041137007,0.056240212390461,0.0764891081546085
328.021628228901,0.0651234680733304,0.0552756717570799,0.0753466768905892
328.525232933717,0.0640778345160964,0.0542703724453704,0.0742073935970148
329.028837638534,0.0630449870753998,0.0534130903942412,0.0730942708601462
329.532442343351,0.0620248102370086,0.0524919712336537,0.0720040370430101
330.036047048168,0.061017189332113,0.051673506481338,0.0708375842685935
330.539651752984,0.0600220105304375,0.0508223387067422,0.069654691488381
331.043256457801,0.0590391608334227,0.0499332324188989,0.0685203078074747
331.546861162618,0.0580685280674657,0.0490832332867772,0.0674528285245291
332.050465867435,0.057110000877227,0.0481826266945224,0.0663906661277968
332.554070572252,0.0561634687189972,0.0472611516704146,0.0653943331517174
333.057675277068,0.0552288218541252,0.0463565576659007,0.0644106506512486
333.561279981885,0.0543059513425066,0.045523619321736,0.0632810055222037
334.064884686702,0.0533947490361335,0.0447067686429691,0.0622648182873871
334.568489391519,0.0524951075727027,0.0439733154297982,0.0612758045590257
335.072094096335,0.0516069203692817,0.0431043173328681,0.0602962372800506
335.575698801152,0.0507300816160335,0.0421855203777669,0.0593922059532787
336.079303505969,0.0498644862700012,0.0413540339127298,0.0585559297560814
336.582908210786,0.0490100300489441,0.0406320276584322,0.0576232919544073
337.086512915602,0.048166609425236,0.0398227220956843,0.0567525319452313
337.590117620419,0.0473341216198139,0.0390341878991654,0.0558478487724647
338.093722325236,0.0465124645961864,0.0382831840228171,0.0549678806019855
338.597327030053,0.0457015370544935,0.0375474494697367,0.0541346940631173
339.10093173487,0.0449012384256206,0.0368265766047151,0.0532420793584683
339.604536439686,0.044111468865368,0.0360902457891278,0.0523943639332751
340.108141144503,0.0433321292486703,0.0353677227302405,0.0515082570681784
340.61174584932,0.0425631211638707,0.0346217986878431,0.0506331070983591
341.115350554137,0.0418043469070453,0.0338953562855829,0.0497970252182761
341.618955258953,0.0410557094763791,0.0332039490382633,0.04895458027318
342.12255996377,0.0403171125665933,0.0325188063988578,0.0481697896475066
342.626164668587,0.0395884605634214,0.0318718231801924,0.0473931224726151
343.129769373404,0.0388696585381358,0.0312294220361483,0.046636583306674
343.63337407822,0.0381606122421235,0.0306212437998564,0.0458948857428655
344.136978783037,0.0374612281015099,0.0300021675306834,0.0451635317339711
344.640583487854,0.0367714132118316,0.0293963847284742,0.0444119198671284
345.144188192671,0.0360910753327552,0.0288137496765443,0.0436540727067825
345.647792897488,0.0354201228828457,0.0282138118202154,0.0429384521917023
346.151397602304,0.0347584649343789,0.027610884203044,0.0422297384967725
346.655002307121,0.0341060112082004,0.026990907314727,0.0415304610493352
347.158607011938,0.0334626720686321,0.0263867425845959,0.0408636253025593
347.662211716755,0.032828358518423,0.0257842381880733,0.0402030152936354
348.165816421571,0.0322029821937436,0.0251972320241378,0.039524171287404
348.669421126388,0.0315864553592246,0.0246209052724947,0.0388374307341808
349.173025831205,0.0309786909030426,0.0240600739571513,0.0381588279534476
349.676630536022,0.0303796023320443,0.0235024940896816,0.0374972598177626
350.180235240838,0.0297891037669179,0.0229665944136265,0.0368280740767466
350.683839945655,0.0292071099374042,0.0224561072217644,0.0361684132789397
351.187444650472,0.0286335361775509,0.0219728810691441,0.0355393334727914
351.691049355289,0.0280682984210093,0.021494921343314,0.0349346418033139
352.194654060106,0.0275113131963704,0.0210009462270051,0.0343168293773381
352.698258764922,0.026962497622543,0.0205160128726314,0.033712929110299
353.201863469739,0.0264217694041716,0.0200504715195905,0.0331232928638675
353.705468174556,0.025889046827095,0.0195710599632909,0.032514374761872
354.209072879373,0.0253642487538438,0.0191105208853775,0.0319143197794484
354.712677584189,0.0248472946191778,0.0186470483065131,0.0313283641535959
355.216282289006,0.02433810442566,0.0181913415034682,0.0307836014748935
355.719886993823,0.0238365987392734,0.0177494568240504,0.0302313195182379
356.22349169864,0.0233426986850697,0.0173245434255768,0.0296567321129302
356.727096403456,0.0228563259428615,0.01691268840751,0.0290892160813056
357.230701108273,0.0223774027429483,0.0165421849339689,0.0285525491565555
357.73430581309,0.0219058518618793,0.0161672662790875,0.0280556448718577
358.237910517907,0.0214415966182552,0.0157589861261178,0.0275492377706274
358.741515222723,0.0209845608685627,0.0153802815076922,0.0270588219605399
359.24511992754,0.0205346690030482,0.0150204349107131,0.0265846147948169
359.748724632357,0.0200918459416234,0.0146295979419201,0.026118702291675
360.252329337174,0.0196560171298093,0.0142602509744202,0.0256272433645248
360.755934041991,0.0192271085347121,0.0139129956660059,0.0251303036091039
361.259538746807,0.0188050466410359,0.0135388998923294,0.0246574996374692
361.763143451624,0.0183897584471264,0.0131661983728309,0.02419471094225
362.266748156441,0.0179811714610515,0.0128399775132977,0.0237277795015987
362.770352861258,0.0175792136967125,0.0125220908386957,0.0232809056619132
363.273957566074,0.0171838136699908,0.0122108086926614,0.0228143661117571
363.777562270891,0.0167949003949239,0.0118923540112458,0.0223460842485096
364.281166975708,0.0164124033799176,0.011575088483393,0.0219035933973703
364.784771680525,0.0160362526239868,0.0112567430538497,0.021469438272339
365.288376385342,0.0156663786130307,0.0109577349070102,0.0210203454826037
365.791981090158,0.0153027123161365,0.0106666431601104,0.0205912585486858
366.295585794975,0.0149451851819177,0.0103686586409012,0.0201628263466386
366.799190499792,0.0145937291348793,0.0100728688361083,0.0197241942013982
367.302795204609,0.0142482765718165,0.00979283973910747,0.0192864202477175
367.806399909425,0.0139087603582412,0.00952257099761773,0.0188549238688324
368.310004614242,0.0135751138248407,0.00926642163398496,0.0184320095568712
368.813609319059,0.0132472707639634,0.00901934299093444,0.0180360144222525
369.317214023876,0.0129251654261357,0.00877243781248922,0.0176510026784112
369.820818728692,0.0126087325166063,0.00851721665625916,0.0172785088499159
370.324423433509,0.0122979071919207,0.00825900180457311,0.0169112919742508
370.828028138326,0.0119926250565222,0.00799662013633379,0.0165376976156715
371.331632843143,0.0116928221593831,0.00775250765213813,0.0161610488401438
371.835237547959,0.0113984349906618,0.00754290621680864,0.0157973328612946
372.338842252776,0.0111094004783881,0.00731452821307069,0.0154391248837797
372.842446957593,0.0108256559851759,0.00708232923419977,0.0150800889559052
373.34605166241,0.0105471393049625,0.00685186965090777,0.0147353659463548
373.849656367227,0.010273788659776,0.00664346743780059,0.0143967465892536
374.353261072043,0.0100055426965253,0.00641952966505373,0.0140555306090472
374.85686577686,0.00974234048382131,0.00621616521587837,0.013717864435659
375.360470481677,0.00948412150882014,0.00600562402541642,0.013386751906393
375.864075186494,0.00923082567409357,0.00581218749788327,0.01306243266042
376.36767989131,0.00898239329452483,0.00561656438162065,0.0127435699800405
376.871284596127,0.00873876509422848,0.00541358731297754,0.0124313594419335
377.374889300944,0.00849988220349671,0.00524140191790777,0.012124513680713
377.878494005761,0.00826568615576839,0.005066181366668,0.0118223575783037
378.382098710578,0.00803611888462412,0.00490062917701539,0.0115194767735924
378.885703415394,0.0078111227208043,0.00473211153505312,0.0112200461378841
379.389308120211,0.00759064038925086,0.00457927409648514,0.0109371238700648
379.892912825028,0.00737461500617413,0.00441699358479529,0.0106605651535282
380.396517529845,0.00716299007614054,0.0042573066226858,0.010379597769287
380.900122234661,0.00695570948918593,0.00409912269645469,0.0101030755159173
381.403726939478,0.00675271751794984,0.00394210551120854,0.00982729123947368
381.907331644295,0.00655395881483307,0.00378154319239165,0.0095530584474529
382.410936349112,0.00635937840917826,0.00362183759194294,0.00929453979189074
382.914541053928,0.0061689217044714,0.00349936277938976,0.00904820959116529
383.418145758745,0.00598253447556574,0.00334411043953699,0.00880980412568455
383.921750463562,0.00580016286592757,0.00318435764808761,0.00857096655676288
384.425355168379,0.00562175338490361,0.00304301942964862,0.00835104498178761
384.928959873195,0.00544725290500836,0.00291820124537178,0.00811662705781002
385.432564578012,0.00527660865923367,0.00278511713617193,0.00788791644259006
385.936169282829,0.00510976823837896,0.00265860871858077,0.00766497220975253
386.439773987646,0.00494667958840098,0.00253886520022021,0.00744673233063426
386.943378692463,0.00478729100778448,0.00243375112632935,0.0072388306549639
387.446983397279,0.00463155114493318,0.00232541737778228,0.00703218376174205
387.950588102096,0.0044794089955799,0.00221787310329169,0.00681988952750481
388.454192806913,0.00433081390021679,0.00210045511184328,0.00661917987605675
388.95779751173,0.00418571554154454,0.00199083174959016,0.00640538807751479
389.461402216546,0.0040440639419406,0.00187502444285094,0.00621128954211532
389.965006921363,0.00390580946094729,0.00178970460714483,0.00602340674690219
