"18688,""spm"",""N"","""",""0"","""","""","""","""","""",""pubis"","""",""1"",""table"","""","""",""Apatosaurus alenquerensis"",""species"",""65347"",""recombined as"",""Lourinhasaurus alenquerensis"",""species"",""65347"","""","""",""34472""";
"18689,""spm"",""N"","""",""0"","""","""","""","""","""",""scapula"","""",""1"",""table"","""","""",""Apatosaurus alenquerensis"",""species"",""65347"",""recombined as"",""Lourinhasaurus alenquerensis"",""species"",""65347"","""","""",""34472""";
"18690,""spm"","""",""474524"",""0"",""21852"","""","""","""","""",""femur"","""",""1"",""table"","""",""based on specimens described by Gilmore (1936)"",""Apatosaurus louisae"",""species"",""57752"","""",""Apatosaurus louisae"",""species"",""57752"",""149.2"",""146.3"",""34472""";
"18691,""spm"","""",""474524"",""0"",""21852"","""","""","""","""",""tibia"","""",""1"",""table"","""",""based on specimens described by Gilmore (1936)"",""Apatosaurus louisae"",""species"",""57752"","""",""Apatosaurus louisae"",""species"",""57752"",""149.2"",""146.3"",""34472""";
"18692,""spm"","""",""474524"",""0"",""21852"","""","""","""","""",""humerus"","""",""1"",""table"","""",""based on specimens described by Gilmore (1936)"",""Apatosaurus louisae"",""species"",""57752"","""",""Apatosaurus louisae"",""species"",""57752"",""149.2"",""146.3"",""34472""";
"18693,""spm"","""",""474524"",""0"",""21852"","""","""","""","""",""radius"","""",""1"",""table"","""",""based on specimens described by Gilmore (1936)"",""Apatosaurus louisae"",""species"",""57752"","""",""Apatosaurus louisae"",""species"",""57752"",""149.2"",""146.3"",""34472""";
"18694,""spm"","""",""474524"",""0"",""21852"","""","""","""","""",""ulna"","""",""1"",""table"","""",""based on specimens described by Gilmore (1936)"",""Apatosaurus louisae"",""species"",""57752"","""",""Apatosaurus louisae"",""species"",""57752"",""149.2"",""146.3"",""34472""";
"18695,""spm"","""",""474524"",""0"",""21852"","""","""","""","""",""pubis"","""",""1"",""table"","""",""based on specimens described by Gilmore (1936)"",""Apatosaurus louisae"",""species"",""57752"","""",""Apatosaurus louisae"",""species"",""57752"",""149.2"",""146.3"",""34472""";
"18696,""spm"","""",""474524"",""0"",""21852"","""","""","""","""",""scapula"","""",""1"",""table"","""",""based on specimens described by Gilmore (1936)"",""Apatosaurus louisae"",""species"",""57752"","""",""Apatosaurus louisae"",""species"",""57752"",""149.2"",""146.3"",""34472""";
"18795,""spm"","""",""225582"",""30574"",""21852"",""USNM 10865"","""","""","""",""scapula"","""",""1"",""table"","""",""width is least breadth"",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""149.2"",""146.3"",""14579""";
"18796,""spm"","""",""225582"",""30574"",""21852"",""USNM 10865"","""","""","""",""coracoid"","""",""1"",""table"","""","""",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""149.2"",""146.3"",""14579""";
"18797,""spm"","""",""225582"",""30574"",""21852"",""USNM 10865"","""","""","""",""humerus"","""",""1"",""table"","""",""least circumference"",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""149.2"",""146.3"",""14579""";
"18798,""spm"","""",""225582"",""30574"",""21852"",""USNM 10865"","""","""","""",""ulna"","""",""1"",""table"","""",""least circumference"",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""149.2"",""146.3"",""14579""";
"18799,""spm"","""",""225582"",""30574"",""21852"",""USNM 10865"","""","""","""",""radius"","""",""1"",""table"","""",""least circumference"",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""149.2"",""146.3"",""14579""";
"18800,""spm"","""",""225582"",""30574"",""21852"",""USNM 10865"","""","""","""",""femur"","""",""1"",""table"","""","""",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""149.2"",""146.3"",""14579""";
"18801,""spm"","""",""225582"",""30574"",""21852"",""USNM 10865"","""","""","""",""tibia"","""",""1"",""table"","""","""",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""149.2"",""146.3"",""14579""";
"18802,""spm"","""",""225582"",""30574"",""21852"",""USNM 10865"","""","""","""",""fibula"","""",""1"",""table"","""","""",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""149.2"",""146.3"",""14579""";
"18803,""spm"","""",""557969"",""0"",""57897"",""C.M. No. 84"","""","""","""",""scapula"","""",""1"",""table"","""",""width is least breadth"",""Diplodocus carnegii"",""species"",""65917"","""",""Diplodocus carnegii"",""species"",""65917"",""154.8"",""145"",""14579""";
"18804,""spm"","""",""557969"",""0"",""57897"",""C.M. No. 84"","""","""","""",""coracoid"","""",""1"",""table"","""","""",""Diplodocus carnegii"",""species"",""65917"","""",""Diplodocus carnegii"",""species"",""65917"",""154.8"",""145"",""14579""";
"18805,""spm"","""",""557969"",""0"",""57897"",""C.M. No. 84"","""","""","""",""femur"","""",""1"",""table"","""","""",""Diplodocus carnegii"",""species"",""65917"","""",""Diplodocus carnegii"",""species"",""65917"",""154.8"",""145"",""14579""";
"18806,""spm"","""",""557969"",""0"",""57897"",""CM 94"","""","""","""",""femur"","""",""1"",""table"","""","""",""Diplodocus carnegii"",""species"",""65917"","""",""Diplodocus carnegii"",""species"",""65917"",""154.8"",""145"",""14579""";
"18807,""spm"","""",""150350"",""0"",""13352"",""CM 94"","""","""","""",""tibia"","""",""1"",""table"","""","""",""Diplodocus carnegii"",""species"",""65917"","""",""Diplodocus carnegii"",""species"",""65917"",""154.8"",""145"",""14579""";
"18808,""spm"","""",""150350"",""0"",""13352"",""CM 94"","""","""","""",""fibula"","""",""1"",""table"","""","""",""Diplodocus carnegii"",""species"",""65917"","""",""Diplodocus carnegii"",""species"",""65917"",""154.8"",""145"",""14579""";
"18819,""spm"","""",""219971"",""0"",""22648"",""Amer. Mus. Coll. No. 594"","""","""",""right"",""scapula"","""",""1"",""table"","""","""",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""154.8"",""145"",""13070""";
"18820,""spm"","""",""219971"",""0"",""22648"",""Amer. Mus. Coll. No. 594"","""","""",""right"",""coracoid"","""",""1"",""table"","""","""",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""154.8"",""145"",""13070""";
"18821,""spm"","""",""219971"",""0"",""22648"",""Amer. Mus. Coll. No. 594"","""","""",""right"",""humerus"","""",""1"",""table"","""",""least circumference"",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""154.8"",""145"",""13070""";
"18822,""spm"","""",""219971"",""0"",""22648"",""Amer. Mus. Coll. No. 594"","""","""",""right"",""ulna"","""",""1"",""table"","""",""least circumference"",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""154.8"",""145"",""13070""";
"18823,""spm"","""",""219971"",""0"",""22648"",""Amer. Mus. Coll. No. 594"","""","""",""right"",""radius"","""",""1"",""table"","""",""least circumference"",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""154.8"",""145"",""13070""";
"18824,""spm"","""",""219971"",""0"",""22648"",""Amer. Mus. Coll. No. 588"","""","""",""right"",""radius"","""",""1"",""table"","""",""least circumference"",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""154.8"",""145"",""13070""";
"18825,""spm"","""",""219971"",""0"",""22648"",""Amer. Mus. Coll. No. 588"","""","""",""right"",""ulna"","""",""1"",""table"","""",""least circumference"",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""154.8"",""145"",""13070""";
"18826,""spm"","""",""219972"",""12456"",""22648"",""Amer. Mus. Coll. No. 332"","""","""","""",""humerus"","""",""1"",""table"","""","""",""Morosaurus"",""genus"",""52968"",""subjective synonym of"",""Camarasaurus"",""genus"",""38697"",""154.8"",""145"",""13070""";
"18827,""spm"","""",""219972"",""12456"",""22648"",""Amer. Mus. Coll. No. 332"","""","""","""",""ulna"","""",""1"",""table"","""","""",""Morosaurus"",""genus"",""52968"",""subjective synonym of"",""Camarasaurus"",""genus"",""38697"",""154.8"",""145"",""13070""";
"18828,""spm"","""",""219972"",""12456"",""22648"",""Amer. Mus. Coll. No. 332"","""","""","""",""radius"","""",""1"",""table"","""","""",""Morosaurus"",""genus"",""52968"",""subjective synonym of"",""Camarasaurus"",""genus"",""38697"",""154.8"",""145"",""13070""";
"18829,""spm"","""",""219971"",""0"",""22648"",""Amer. Mus. Coll. No. 251"","""","""","""",""femur"","""",""1"",""table"","""",""least circumference"",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""154.8"",""145"",""13099""";
"18830,""spm"","""",""219971"",""0"",""22648"",""Amer. Mus. Coll. No. 251"","""","""","""",""tibia"","""",""1"",""table"","""",""least circumference"",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""154.8"",""145"",""13099""";
"18831,""spm"","""",""219971"",""0"",""22648"",""Amer. Mus. Coll. No. 251"","""","""","""",""fibula"","""",""1"",""table"","""","""",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""154.8"",""145"",""13099""";
"18832,""spm"","""",""219974"",""12665"",""22648"",""Amer. Mus. Coll. No. 309"","""","""","""",""tibia"","""",""1"",""table"","""","""",""Apatosaurus excelsus"",""species"",""56547"",""recombined as"",""Brontosaurus excelsus"",""species"",""52982"",""154.8"",""145"",""13099""";
"18833,""spm"","""",""219974"",""12665"",""22648"",""Amer. Mus. Coll. No. 309"","""","""","""",""fibula"","""",""1"",""table"","""","""",""Apatosaurus excelsus"",""species"",""56547"",""recombined as"",""Brontosaurus excelsus"",""species"",""52982"",""154.8"",""145"",""13099""";
