"mu_log","sd_log","mu_cm","sd_cm_factor","TL_MAP_cm","TL_mean_cm","TL_up_cm","Mass_MAP_kg","Mass_up_kg"
5.99146454710798,0.02,400,1.02020134002676,396.219450743463,395.967800895101,409.33269953452,242.398212027405,273.610175573121
5.99146454710798,0.04,400,1.04081077419239,384.504303977365,387.743163220941,411.41219462952,221.317788279028,278.075196342789
5.99146454710798,0.06,400,1.06183654654536,375.006720126678,383.348435029002,411.277327483598,204.394532444039,278.220197233057
5.99146454710798,0.1,400,1.10517091807565,371.27370189744,380.783759904421,411.37281109614,200.522445514095,277.982154089105
5.99146454710798,0.2,400,1.22140275816017,369.421151164637,379.972270099526,412.311016449501,195.913216663151,279.365791132245
6.04025471127741,0.02,420,1.02020134002676,416.543250591849,416.068187208119,430.265563501444,289.438817593429,321.636079213228
6.04025471127741,0.04,420,1.04081077419239,402.210204275718,404.395790751274,432.246867364998,257.037702567852,325.563035168878
6.04025471127741,0.06,420,1.06183654654536,382.585736283347,392.917628535441,428.160646778717,218.986376261353,316.446146580807
6.04025471127741,0.1,420,1.10517091807565,373.135542689046,384.389662346359,420.45015087257,200.662980203154,298.641891774763
6.04025471127741,0.2,420,1.22140275816017,369.421151164637,380.943077365373,415.242943820047,198.272893630234,287.048832405116
6.06378520868761,0.02,430,1.02020134002676,424.961734466273,426.241429525973,440.770916577526,313.806424380741,347.623558646267
6.06378520868761,0.04,430,1.04081077419239,412.396755437842,414.316743782052,443.487219619216,280.434905910934,355.10523972962
6.06378520868761,0.06,430,1.06183654654536,390.317926990818,399.396173107918,438.417275430873,233.08632592977,340.696512758312
6.06378520868761,0.1,430,1.10517091807565,373.135542689046,386.584419275787,426.029118051078,201.943990776127,310.531074391881
6.06378520868761,0.2,430,1.22140275816017,369.421151164637,381.454647571372,416.783936707363,197.177524470267,289.647464379724
6.08677472691231,0.02,440,1.02020134002676,435.724500811003,436.424710341424,451.209083894316,334.531033910476,374.66865312636
6.08677472691231,0.04,440,1.04081077419239,422.841295640213,424.760708217211,454.890836577311,303.300907952952,384.457296650515
6.08677472691231,0.06,440,1.06183654654536,398.206387960001,407.168150395461,449.701493917316,239.02009604543,369.978153474459
6.08677472691231,0.1,440,1.10517091807565,375.006720126678,389.116227848739,432.426084709167,203.41755707353,326.984340917489
6.08677472691231,0.2,440,1.22140275816017,369.421151164637,381.9858754136,418.420879739504,197.144256962,294.507632295072
6.13122648948314,0.02,460,1.02020134002676,455.789021517547,456.767749902712,472.240117187514,387.948157800173,434.413173530314
6.13122648948314,0.04,460,1.04081077419239,444.530644419276,446.144677695462,477.716492212907,357.11991558096,450.762778127162
6.13122648948314,0.06,460,1.06183654654536,420.731437203986,426.323951570674,474.135540657552,289.837357009034,441.220199652598
6.13122648948314,0.1,460,1.10517091807565,376.88728103118,395.500609328723,448.220247844227,206.939688675705,368.67025692348
6.13122648948314,0.2,460,1.22140275816017,369.421151164637,383.115095197609,421.985933046051,196.58581403492,302.432695335456
