"u_prob","u","n_u","sigma","xi","endpoint"
0.7,8.87357185118114,40,1.74037242286097,-0.790361519541517,11.0755672416836
0.71,8.87357185118114,40,1.74037242286097,-0.790361519541517,11.0755672416836
0.72,8.94088932985116,40,1.58249129064852,-0.735822415717262,11.0915322796259
0.73,9.00276690963628,39,1.49943944994852,-0.715281188465014,11.0990606108118
0.74,9.05574791909361,37,1.50376806317225,-0.739042724074788,11.0904991103117
0.75,9.11658050053359,36,1.42586864504819,-0.719861927236154,11.0973334631506
0.76,9.16763477666408,34,1.4401209117236,-0.750363265927814,11.0868664036853
0.77,9.22777108623818,33,1.36538386014605,-0.73209080460924,11.0928182245844
0.78,9.28103849653758,31,1.3820428916896,-0.76747363156455,11.0818077149825
0.79,9.3365868013196,30,1.32044466253574,-0.755034683666328,11.0854397892696
0.8,9.37176146406876,28,1.40112179860997,-0.825906071466739,11.0682277415496
0.81,9.51611241571018,27,1.09435344791836,-0.686639475328433,11.1098941414039
0.82,9.57312349665724,26,1.0211869047382,-0.659057517713623,11.122589024766
0.83,9.65600901519868,24,0.959688685912588,-0.65308419216761,11.1254806352778
0.84,9.69145450836062,23,0.947101853077822,-0.662589599665194,11.1208488929939
0.85,9.71074874380908,21,1.11061895649403,-0.816710617114782,11.0706171393217
0.86,9.7848024992615,20,0.994991926227112,-0.766709758014677,11.0825451141508
0.87,9.96861321951002,18,0.596831891578348,-0.452008152701937,11.2890139423968
0.88,10.0046725668151,17,0.570285523544185,-0.437051838407264,11.3095189795941
0.89,10.0398429992401,16,0.552989187744573,-0.43429359863923,11.3131502491679
0.9,10.0870225844515,14,0.674955622099802,-0.648003418850416,11.1286152712574
0.91,10.136204833977,13,0.628918368345577,-0.626588150647937,11.1399237324197
0.92,10.1687683763453,11,0.977321996091479,-1.11217731598327,11.0475149413456
0.93,10.2532680709677,10,0.927436024320665,-1.16769238748072,11.0475149413456
0.94,10.3431123950841,8,0.883168782733635,-1.25378419970366,11.0475149413456
0.95,10.3679226151275,7,NA,NA,NA
0.96,10.3774590445071,6,NA,NA,NA
0.97,10.5758193425945,4,NA,NA,NA
0.98,10.7931554582649,3,NA,NA,NA
0.99,11.0126966979039,1,NA,NA,NA
