"u_prob","u","n_u","sigma_hat","xi_hat","xi_lo","xi_hi","endpoint_hat","endpoint_lo","endpoint_hi"
0.8,11751.7972352684,28,19393.3859169844,-0.235805008253932,-0.873003272633057,-0.0216829102025515,93995.1136965549,46870.2175884394,268793.385360327
0.82,14373.7448267645,26,15917.3054606364,-0.128955301532524,-0.901415424700505,0.081079671711057,137806.479049187,46699.7847479977,432888.225155489
0.84,16179.3188512907,23,16039.0225766173,-0.143455896364592,-0.760718834775312,0.131552933680354,127983.873303721,47656.7188207575,360954.975483746
