"model","n","intercept","slope","se_intercept","se_slope","r2"
"log(CF) ~ log(CH)",46,0.79180105433388,0.908115965228614,0.203646906882153,0.0332816843035334,0.944198732814155
"log(LF) ~ log(CF)",78,1.37478446114473,0.91888116835895,0.283464790007029,0.0451366928231966,0.845036375981609
"log(LH) ~ log(CH)",21,1.51517250755731,0.882679920283721,0.515380939053245,0.0861842887869903,0.84664299142574
