"variable","mean","sd","5%","50%","95%","rhat","ess_bulk","ess_tail"
"ystar1",5.66678361879237,0.0741641751528008,5.59087528122852,5.64588774957265,5.79601765264827,1.0006176354703,1906.25102468144,3476.57973724853
"ystar2",5.73943996870229,0.0395179967337246,5.70086733003285,5.72862353718437,5.81357940267992,1.00077686842947,2664.19329040896,3839.11970589728
"xi1",-0.273606087119162,0.0941440744738168,-0.427939068008814,-0.272073360534794,-0.129774662260989,1.00068400077508,1923.79326417892,3567.66358330371
"xi2",-0.363564186220342,0.0646606093909915,-0.467002716331894,-0.365128409010332,-0.253293030833006,1.00078397849877,2569.84204121559,3143.108065759
"mu_y",5.71389591836117,0.083453170087141,5.59019324727651,5.7095215145538,5.85680337381328,1.00103165122758,2911.26430304386,2910.8925334487
"tau_y",0.108944890873443,0.117827139168717,0.0117282106576,0.0796027782042141,0.298958482024636,1.00497675947772,1657.69315565272,1605.28305019353
"mu_xi",-0.290371409125384,0.0816436700986927,-0.415101462927686,-0.295794687699776,-0.14667478000942,1.00042305721999,2785.14944382535,4234.6719526624
"tau_xi",0.364300475974894,6.99984169469415,0.0125922900820777,0.0922386739156408,0.569436456782659,1.00069591029164,1562.94621400935,2136.53888152177
"TLstar1_cm",289.949949363947,23.8305490811983,267.970066264153,283.12478866067,328.986807996454,1.00062835349269,1906.25102468144,3476.57973724853
"TLstar2_cm",311.142268707748,13.0449615378632,299.126730085508,307.545651744564,334.815422628213,1.00077686842947,2664.19329040896,3839.11970589728
"TLstar_pop_cm",304.123965785892,26.128005080001,267.787364295429,301.726661928127,349.604800063655,1.00102850279636,2911.26430304386,2910.8925334487
