"x","y"
100,479.821958456973
100,478.635014836795
100,477.448071216617
100,473.887240356083
100,472.700296735905
100,470.326409495549
100,469.139465875371
100,465.578635014837
100,464.391691394659
100,463.204747774481
100,462.017804154303
100,460.830860534125
100,459.643916913947
100,456.083086053412
100,454.896142433234
100,453.709198813056
100,447.774480712166
100,446.587537091988
101.238390092879,479.821958456973
101.238390092879,478.635014836795
101.238390092879,477.448071216617
101.238390092879,476.261127596439
101.238390092879,475.074183976261
101.238390092879,473.887240356083
101.238390092879,472.700296735905
101.238390092879,470.326409495549
101.238390092879,469.139465875371
101.238390092879,467.952522255193
101.238390092879,466.765578635015
101.238390092879,465.578635014837
101.238390092879,464.391691394659
101.238390092879,463.204747774481
101.238390092879,460.830860534125
101.238390092879,459.643916913947
101.238390092879,458.456973293769
101.238390092879,457.27002967359
101.238390092879,456.083086053412
101.238390092879,454.896142433234
101.238390092879,447.774480712166
101.238390092879,446.587537091988
102.476780185759,478.635014836795
102.476780185759,477.448071216617
102.476780185759,476.261127596439
102.476780185759,475.074183976261
102.476780185759,473.887240356083
102.476780185759,469.139465875371
102.476780185759,467.952522255193
102.476780185759,466.765578635015
102.476780185759,465.578635014837
102.476780185759,464.391691394659
102.476780185759,459.643916913947
102.476780185759,458.456973293769
102.476780185759,457.27002967359
102.476780185759,456.083086053412
102.476780185759,448.961424332344
102.476780185759,447.774480712166
102.476780185759,446.587537091988
103.715170278638,447.774480712166
103.715170278638,446.587537091988
104.953560371517,447.774480712166
104.953560371517,446.587537091988
106.191950464396,447.774480712166
106.191950464396,446.587537091988
107.430340557276,447.774480712166
107.430340557276,446.587537091988
107.430340557276,295.845697329377
107.430340557276,294.658753709199
107.430340557276,293.471810089021
107.430340557276,286.350148367953
107.430340557276,285.163204747774
107.430340557276,283.976261127596
107.430340557276,282.789317507418
107.430340557276,269.73293768546
107.430340557276,268.545994065282
108.668730650155,447.774480712166
108.668730650155,446.587537091988
108.668730650155,295.845697329377
108.668730650155,294.658753709199
108.668730650155,293.471810089021
108.668730650155,286.350148367953
108.668730650155,285.163204747774
108.668730650155,283.976261127596
108.668730650155,282.789317507418
108.668730650155,269.73293768546
108.668730650155,268.545994065282
109.907120743034,448.961424332344
109.907120743034,447.774480712166
109.907120743034,446.587537091988
109.907120743034,295.845697329377
109.907120743034,294.658753709199
109.907120743034,293.471810089021
109.907120743034,292.284866468843
109.907120743034,286.350148367953
109.907120743034,285.163204747774
109.907120743034,283.976261127596
109.907120743034,282.789317507418
109.907120743034,269.73293768546
109.907120743034,268.545994065282
111.145510835913,447.774480712166
111.145510835913,446.587537091988
111.145510835913,295.845697329377
111.145510835913,294.658753709199
111.145510835913,293.471810089021
111.145510835913,292.284866468843
111.145510835913,286.350148367953
111.145510835913,285.163204747774
111.145510835913,283.976261127596
111.145510835913,282.789317507418
111.145510835913,279.228486646884
111.145510835913,278.041543026706
111.145510835913,276.854599406528
111.145510835913,275.66765578635
111.145510835913,274.480712166172
111.145510835913,269.73293768546
111.145510835913,268.545994065282
111.145510835913,263.79821958457
111.145510835913,262.611275964392
111.145510835913,261.424332344214
111.145510835913,260.237388724036
111.145510835913,254.302670623145
111.145510835913,253.115727002967
111.145510835913,251.928783382789
111.145510835913,250.741839762611
112.383900928793,447.774480712166
112.383900928793,446.587537091988
112.383900928793,295.845697329377
112.383900928793,294.658753709199
112.383900928793,293.471810089021
112.383900928793,292.284866468843
112.383900928793,287.537091988131
112.383900928793,286.350148367953
112.383900928793,285.163204747774
112.383900928793,283.976261127596
112.383900928793,282.789317507418
112.383900928793,280.415430267062
112.383900928793,279.228486646884
112.383900928793,278.041543026706
112.383900928793,276.854599406528
112.383900928793,275.66765578635
112.383900928793,274.480712166172
112.383900928793,273.293768545994
112.383900928793,269.73293768546
112.383900928793,268.545994065282
112.383900928793,264.985163204748
112.383900928793,263.79821958457
112.383900928793,262.611275964392
112.383900928793,261.424332344214
112.383900928793,260.237388724036
112.383900928793,259.050445103858
112.383900928793,255.489614243323
112.383900928793,254.302670623145
112.383900928793,253.115727002967
112.383900928793,251.928783382789
112.383900928793,250.741839762611
112.383900928793,249.554896142433
113.622291021672,447.774480712166
113.622291021672,446.587537091988
113.622291021672,295.845697329377
113.622291021672,294.658753709199
113.622291021672,293.471810089021
113.622291021672,292.284866468843
113.622291021672,291.097922848665
113.622291021672,287.537091988131
113.622291021672,286.350148367953
113.622291021672,285.163204747774
113.622291021672,283.976261127596
113.622291021672,282.789317507418
113.622291021672,280.415430267062
113.622291021672,279.228486646884
113.622291021672,278.041543026706
113.622291021672,276.854599406528
113.622291021672,275.66765578635
113.622291021672,274.480712166172
113.622291021672,273.293768545994
113.622291021672,269.73293768546
113.622291021672,268.545994065282
113.622291021672,266.172106824926
113.622291021672,264.985163204748
113.622291021672,263.79821958457
113.622291021672,261.424332344214
113.622291021672,260.237388724036
113.622291021672,259.050445103858
113.622291021672,257.86350148368
113.622291021672,256.676557863501
113.622291021672,255.489614243323
113.622291021672,254.302670623145
113.622291021672,253.115727002967
113.622291021672,251.928783382789
113.622291021672,250.741839762611
113.622291021672,249.554896142433
113.622291021672,248.367952522255
114.860681114551,447.774480712166
114.860681114551,446.587537091988
114.860681114551,295.845697329377
114.860681114551,294.658753709199
114.860681114551,293.471810089021
114.860681114551,292.284866468843
114.860681114551,291.097922848665
114.860681114551,288.724035608309
114.860681114551,287.537091988131
114.860681114551,286.350148367953
114.860681114551,285.163204747774
114.860681114551,283.976261127596
114.860681114551,282.789317507418
114.860681114551,280.415430267062
114.860681114551,279.228486646884
114.860681114551,274.480712166172
114.860681114551,273.293768545994
114.860681114551,269.73293768546
114.860681114551,268.545994065282
114.860681114551,266.172106824926
114.860681114551,264.985163204748
114.860681114551,260.237388724036
