"analysis","m","return_level_t"
"All extant species",31,0.0517028131138546
"All extant species",32,0.0537658296540938
"All extant species",34,0.0579056923489629
"All extant species",35,0.0599815726065308
"All extant species",36,0.0620608368693368
"All extant species",38,0.066227966147314
"All extant species",39,0.0683151264187879
"All extant species",41,0.0724950633856802
"All extant species",42,0.0745872761148599
"All extant species",44,0.0787749236099725
"All extant species",46,0.0829653736736621
"All extant species",48,0.0871570362823138
"All extant species",50,0.0913485218776715
"All extant species",52,0.0955386127920812
"All extant species",54,0.0997262394601431
"All extant species",56,0.103910460490619
"All extant species",58,0.108090445875237
"All extant species",60,0.11226546276444
"All extant species",63,0.118517275780408
"All extant species",65,0.12267719822022
"All extant species",68,0.128903957543954
"All extant species",70,0.133045782428691
"All extant species",73,0.139243616581149
"All extant species",76,0.145422673762285
"All extant species",79,0.15158210676287
"All extant species",82,0.157721215595036
"All extant species",86,0.165874100603658
"All extant species",89,0.171963732434682
"All extant species",93,0.180049199166864
"All extant species",96,0.186087424337889
"All extant species",100,0.194103524448164
"All extant species",104,0.20207949715122
"All extant species",108,0.210015163991806
"All extant species",113,0.219877975927175
"All extant species",117,0.227722852925104
"All extant species",122,0.237472429901443
"All extant species",127,0.247159554001008
"All extant species",132,0.256784704950937
"All extant species",137,0.266348452719788
"All extant species",142,0.275851437194351
"All extant species",148,0.28717579037329
"All extant species",154,0.298414918079827
"All extant species",160,0.309570151264484
"All extant species",166,0.320642858533935
"All extant species",173,0.333458569029678
"All extant species",180,0.346166068345019
"All extant species",187,0.358767576774907
"All extant species",195,0.373042340102399
"All extant species",202,0.385424104384429
"All extant species",210,0.399453373746366
"All extant species",219,0.415085332389375
"All extant species",227,0.428849557400988
"All extant species",237,0.445886288171987
"All extant species",246,0.461063473337252
"All extant species",256,0.477758707624314
"All extant species",266,0.494281719008315
"All extant species",277,0.512263960419707
"All extant species",288,0.530049980868771
"All extant species",299,0.547645730781586
"All extant species",311,0.566630752033115
"All extant species",323,0.58540309451513
"All extant species",336,0.605507513030592
"All extant species",350,0.626897221229055
"All extant species",364,0.648025294797245
"All extant species",378,0.668900680249312
"All extant species",393,0.690996350779211
"All extant species",409,0.714267068405204
"All extant species",425,0.737241137365763
"All extant species",442,0.761337823701493
"All extant species",460,0.786513097858215
"All extant species",478,0.81135279719862
"All extant species",497,0.837222114682344
"All extant species",517,0.864078980827193
"All extant species",537,0.890566925295294
"All extant species",559,0.919294200011264
"All extant species",581,0.947609327724993
"All extant species",604,0.976788412191001
"All extant species",628,1.0067934466158
"All extant species",653,1.03758736741503
"All extant species",679,1.06913412264656
"All extant species",706,1.10139872428045
"All extant species",735,1.13551467094487
"All extant species",764,1.16909639612929
"All extant species",794,1.20329786937916
"All extant species",826,1.23920186967765
"All extant species",859,1.27563040232502
"All extant species",893,1.31255600697529
"All extant species",929,1.35101195003703
"All extant species",966,1.389878723424
"All extant species",1004,1.42913317360507
"All extant species",1044,1.46976049553971
"All extant species",1086,1.51168858923348
"All extant species",1129,1.5538749244593
"All extant species",1174,1.59725837767989
"All extant species",1221,1.64177312597937
"All extant species",1270,1.6873556151206
"All extant species",1320,1.73303924075798
"All extant species",1373,1.78059251089474
"All extant species",1427,1.82816407707184
"All extant species",1484,1.87746178169484
"All extant species",1544,1.92838568591654
