"analysis","m","return_level_t"
"All extant species",1605,1.97918921394015
"All extant species",1669,2.0314918106797
"All extant species",1735,2.08440881664095
"All extant species",1805,2.13945656043007
"All extant species",1877,2.19497808281
"All extant species",1951,2.25093794300204
"All extant species",2029,2.30877129000513
"All extant species",2110,2.36764060400659
"All extant species",2194,2.42747558496696
"All extant species",2282,2.48890036617924
"All extant species",2372,2.55045552801037
"All extant species",2467,2.6141126097075
"All extant species",2565,2.6784340037859
"All extant species",2668,2.7446397622626
"All extant species",2774,2.8113557268191
"All extant species",2884,2.8791471290423
"All extant species",2999,2.94853095670012
"All extant species",3119,3.019393457268
"All extant species",3243,3.09105452778187
"All extant species",3372,3.1640074434813
"All extant species",3507,3.23870109385418
"All extant species",3647,3.31447107963093
"All extant species",3792,3.39122986258389
"All extant species",3943,3.46940687439245
"All extant species",4100,3.54889035645261
"All extant species",4264,3.63006391971602
"All extant species",4433,3.71183775761472
"All extant species",4610,3.79555345729922
"All extant species",4794,3.88060162997014
"All extant species",4985,3.96686894204723
"All extant species",5184,4.0546847392627
"All extant species",5390,4.14349212127282
"All extant species",5605,4.23402969468599
"All extant species",5828,4.32574486453658
"All extant species",6061,4.41932198470127
"All extant species",6302,4.51382712386535
"All extant species",6553,4.60992190508001
"All extant species",6814,4.70746360588405
"All extant species",7086,4.80667820254201
"All extant species",7368,4.90706166029703
"All extant species",7662,5.00918239027057
"All extant species",7967,5.11254528179785
"All extant species",8285,5.21767713903228
"All extant species",8615,5.32409314948878
"All extant species",8958,5.43197118067878
"All extant species",9315,5.5414668941463
"All extant species",9687,5.65271504723305
"All extant species",10073,5.76525499035708
"All extant species",10474,5.87922703918802
"All extant species",10891,5.99475249238954
"All extant species",11325,6.11193483693712
"All extant species",11777,6.23086088944725
"All extant species",12246,6.35109578593132
"All extant species",12734,6.47298202252242
"All extant species",13242,6.59658126425847
"All extant species",13769,6.7214741256626
"All extant species",14318,6.84818897059852
"All extant species",14889,6.9765279638745
"All extant species",15482,7.10630623201145
"All extant species",16099,7.23777190273266
"All extant species",16741,7.37093583508848
"All extant species",17408,7.50560101600417
"All extant species",18101,7.64177773125758
"All extant species",18823,7.77984567268157
"All extant species",19573,7.91940238767677
"All extant species",20353,8.06061590520704
"All extant species",21164,8.20345525485878
"All extant species",22007,8.34788493197691
"All extant species",22884,8.49402981851792
"All extant species",23796,8.64183345854882
"All extant species",24745,8.79139254361911
"All extant species",25731,8.94248251839525
"All extant species",26756,9.09518869404613
"All extant species",27823,9.2497217982881
"All extant species",28931,9.40570534864277
"All extant species",30084,9.5634700787887
"All extant species",31283,9.72290839358331
"All extant species",32530,9.884042680724
"All extant species",33826,10.0467598946592
"All extant species",35174,10.2111909918283
"All extant species",36576,10.3773262955854
"All extant species",38034,10.5451475656412
"All extant species",39550,10.7146289219453
"All extant species",41126,10.8857377156155
"All extant species",42765,11.0585392463108
"All extant species",44469,11.2329806784349
"All extant species",46241,11.4091031302609
"All extant species",48084,11.5869329407354
"All extant species",50000,11.766390755013
"Extant, excluding Proboscidea",31,0.0508201830215143
"Extant, excluding Proboscidea",32,0.0528644807466013
"Extant, excluding Proboscidea",34,0.0569566405596198
"Extant, excluding Proboscidea",35,0.0590034504908037
"Extant, excluding Proboscidea",36,0.0610501235735205
"Extant, excluding Proboscidea",38,0.0651414310077506
"Extant, excluding Proboscidea",39,0.0671853388154822
"Extant, excluding Proboscidea",41,0.0712680751455465
"Extant, excluding Proboscidea",42,0.073306348662464
"Extant, excluding Proboscidea",44,0.0773754908815265
"Extant, excluding Proboscidea",46,0.0814333705955087
"Extant, excluding Proboscidea",48,0.0854785569118985
"Extant, excluding Proboscidea",50,0.0895098501561938
"Extant, excluding Proboscidea",52,0.0935262457471141
"Extant, excluding Proboscidea",54,0.0975269044076145
"Extant, excluding Proboscidea",56,0.10151112745506
"Extant, excluding Proboscidea",58,0.1054783361926
"Extant, excluding Proboscidea",60,0.109428054634285
"Extant, excluding Proboscidea",63,0.115319010668229
"Extant, excluding Proboscidea",65,0.119223469681688
"Extant, excluding Proboscidea",68,0.125045345692811
"Extant, excluding Proboscidea",70,0.128903164723626
"Extant, excluding Proboscidea",73,0.134654497505258
"Extant, excluding Proboscidea",76,0.140363205046922
"Extant, excluding Proboscidea",79,0.1460292544907
"Extant, excluding Proboscidea",82,0.151652735032382
"Extant, excluding Proboscidea",86,0.15908482728312
"Extant, excluding Proboscidea",89,0.164609846295691
"Extant, excluding Proboscidea",93,0.171911802133385
"Extant, excluding Proboscidea",96,0.177340240652824
"Extant, excluding Proboscidea",100,0.184514967708198
"Extant, excluding Proboscidea",104,0.191618515861113
"Extant, excluding Proboscidea",108,0.198652074301484
"Extant, excluding Proboscidea",113,0.207347474349648
"Extant, excluding Proboscidea",117,0.21422808555463
"Extant, excluding Proboscidea",122,0.222736290461945
"Extant, excluding Proboscidea",127,0.231143958178559
"Extant, excluding Proboscidea",132,0.239453539387139
"Extant, excluding Proboscidea",137,0.247667448970165
"Extant, excluding Proboscidea",142,0.255788055153436
"Extant, excluding Proboscidea",148,0.265412876053737
"Extant, excluding Proboscidea",154,0.274910554232428
"Extant, excluding Proboscidea",160,0.284284844370836
"Extant, excluding Proboscidea",166,0.293539366949876
"Extant, excluding Proboscidea",173,0.304189579521247
"Extant, excluding Proboscidea",180,0.314686818389387
"Extant, excluding Proboscidea",187,0.325036145972304
"Extant, excluding Proboscidea",195,0.336689016101188
"Extant, excluding Proboscidea",202,0.346737360412701
"Extant, excluding Proboscidea",210,0.35805797940845
"Extant, excluding Proboscidea",219,0.370592955749939
"Extant, excluding Proboscidea",227,0.381563197952729
"Extant, excluding Proboscidea",237,0.395057113691442
"Extant, excluding Proboscidea",246,0.407001486122723
"Extant, excluding Proboscidea",256,0.420059372137409
"Extant, excluding Proboscidea",266,0.432901026632696
"Extant, excluding Proboscidea",277,0.44678712614675
"Extant, excluding Proboscidea",288,0.460432248985468
"Extant, excluding Proboscidea",299,0.473846208322578
"Extant, excluding Proboscidea",311,0.488226761274366
"Extant, excluding Proboscidea",323,0.502354296586474
"Extant, excluding Proboscidea",336,0.517385674351739
"Extant, excluding Proboscidea",350,0.533269053838089
"Extant, excluding Proboscidea",364,0.548850898236918
"Extant, excluding Proboscidea",378,0.564144537864485
"Extant, excluding Proboscidea",393,0.580224837167585
"Extant, excluding Proboscidea",409,0.597044142196424
"Extant, excluding Proboscidea",425,0.613535311476981
"Extant, excluding Proboscidea",442,0.630714184226695
"Extant, excluding Proboscidea",460,0.648536304583476
"Extant, excluding Proboscidea",478,0.665998380863038
"Extant, excluding Proboscidea",497,0.684058426859332
"Extant, excluding Proboscidea",517,0.702675711077052
"Extant, excluding Proboscidea",537,0.720908874121629
"Extant, excluding Proboscidea",559,0.740543264611151
"Extant, excluding Proboscidea",581,0.759756989865587
"Extant, excluding Proboscidea",604,0.779416506060187
"Extant, excluding Proboscidea",628,0.799487784100225
"Extant, excluding Proboscidea",653,0.819938261489071
"Extant, excluding Proboscidea",679,0.840736867922109
"Extant, excluding Proboscidea",706,0.861854033278811
"Extant, excluding Proboscidea",735,0.884017304289379
"Extant, excluding Proboscidea",764,0.905671732832437
"Extant, excluding Proboscidea",794,0.927565203164822
"Extant, excluding Proboscidea",826,0.950378764132984
"Extant, excluding Proboscidea",859,0.973352617393603
"Extant, excluding Proboscidea",893,0.996466828282543
"Extant, excluding Proboscidea",929,1.0203585992623
"Extant, excluding Proboscidea",966,1.04432353755545
"Extant, excluding Proboscidea",1004,1.06834660624173
"Extant, excluding Proboscidea",1044,1.09302339346572
"Extant, excluding Proboscidea",1086,1.11829659326623
"Extant, excluding Proboscidea",1129,1.1435321021655
"Extant, excluding Proboscidea",1174,1.16928671241064
"Extant, excluding Proboscidea",1221,1.19551066850305
"Extant, excluding Proboscidea",1270,1.22215688322612
"Extant, excluding Proboscidea",1320,1.24865774569972
"Extant, excluding Proboscidea",1373,1.27603135739561
"Extant, excluding Proboscidea",1427,1.30320483862349
"Extant, excluding Proboscidea",1484,1.33114770368384
"Extant, excluding Proboscidea",1544,1.35978676772377
"Extant, excluding Proboscidea",1605,1.3881355728305
"Extant, excluding Proboscidea",1669,1.41709456538979
"Extant, excluding Proboscidea",1735,1.44616599266334
"Extant, excluding Proboscidea",1805,1.47617106453254
"Extant, excluding Proboscidea",1877,1.50619583458766
"Extant, excluding Proboscidea",1951,1.53622134590473
"Extant, excluding Proboscidea",2029,1.56700905527601
"Extant, excluding Proboscidea",2110,1.5981008979741
"Extant, excluding Proboscidea",2194,1.62945341558544
"Extant, excluding Proboscidea",2282,1.66138400853527
"Extant, excluding Proboscidea",2372,1.69312967986143
"Extant, excluding Proboscidea",2467,1.72569988444054
"Extant, excluding Proboscidea",2565,1.75834859328281
"Extant, excluding Proboscidea",2668,1.79168614223589
"Extant, excluding Proboscidea",2774,1.82501268928726
"Extant, excluding Proboscidea",2884,1.85860769961611
"Extant, excluding Proboscidea",2999,1.89271815857301
"Extant, excluding Proboscidea",3119,1.92727670860414
"Extant, excluding Proboscidea",3243,1.9619450740569
"Extant, excluding Proboscidea",3372,1.99695652708073
"Extant, excluding Proboscidea",3507,2.03251581307309
"Extant, excluding Proboscidea",3647,2.06829735406125
"Extant, excluding Proboscidea",3792,2.104254993098
"Extant, excluding Proboscidea",3943,2.1405832598353
"Extant, excluding Proboscidea",4100,2.17722192956144
"Extant, excluding Proboscidea",4264,2.21433818935557
"Extant, excluding Proboscidea",4433,2.25142814318281
"Extant, excluding Proboscidea",4610,2.28909347747015
"Extant, excluding Proboscidea",4794,2.3270493285258
"Extant, excluding Proboscidea",4985,2.36523853067097
"Extant, excluding Proboscidea",5184,2.40379927263923
"Extant, excluding Proboscidea",5390,2.44248075104376
"Extant, excluding Proboscidea",5605,2.48159759983269
"Extant, excluding Proboscidea",5828,2.52090313915409
"Extant, excluding Proboscidea",6061,2.56068220731115
"Extant, excluding Proboscidea",6302,2.60053077213191
"Extant, excluding Proboscidea",6553,2.64072233818878
"Extant, excluding Proboscidea",6814,2.68118920864423
"Extant, excluding Proboscidea",7086,2.72201686687598
"Extant, excluding Proboscidea",7368,2.76299116734756
"Extant, excluding Proboscidea",7662,2.80433721847355
"Extant, excluding Proboscidea",7967,2.84584741852178
"Extant, excluding Proboscidea",8285,2.88772618217433
"Extant, excluding Proboscidea",8615,2.92977316054864
"Extant, excluding Proboscidea",8958,2.97205302594164
"Extant, excluding Proboscidea",9315,3.01461970403579
"Extant, excluding Proboscidea",9687,3.05751726467439
"Extant, excluding Proboscidea",10073,3.10056143776573
"Extant, excluding Proboscidea",10474,3.14380087172856
"Extant, excluding Proboscidea",10891,3.18727546214453
"Extant, excluding Proboscidea",11325,3.23101712322557
"Extant, excluding Proboscidea",11777,3.27505050342208
"Extant, excluding Proboscidea",12246,3.3192085349469
"Extant, excluding Proboscidea",12734,3.36361148645164
"Extant, excluding Proboscidea",13242,3.40827462493852
"Extant, excluding Proboscidea",13769,3.45304090218132
"Extant, excluding Proboscidea",14318,3.49809384720327
"Extant, excluding Proboscidea",14889,3.54335594686321
"Extant, excluding Proboscidea",15482,3.58875659470188
"Extant, excluding Proboscidea",16099,3.63437702965539
"Extant, excluding Proboscidea",16741,3.68021447437718
"Extant, excluding Proboscidea",17408,3.72619546294438
"Extant, excluding Proboscidea",18101,3.77231873635333
"Extant, excluding Proboscidea",18823,3.8187066295456
"Extant, excluding Proboscidea",19573,3.86521786173162
"Extant, excluding Proboscidea",20353,3.91190342945006
"Extant, excluding Proboscidea",21164,3.95874763813123
"Extant, excluding Proboscidea",22007,4.00573375373335
"Extant, excluding Proboscidea",22884,4.05289706172816
"Extant, excluding Proboscidea",23796,4.10021383538397
"Extant, excluding Proboscidea",24745,4.14770947165022
"Extant, excluding Proboscidea",25731,4.19530768899706
"Extant, excluding Proboscidea",26756,4.2430310160026
"Extant, excluding Proboscidea",27823,4.29093993782845
"Extant, excluding Proboscidea",28931,4.33891307408479
"Extant, excluding Proboscidea",30084,4.38704774306538
"Extant, excluding Proboscidea",31283,4.43530598336162
"Extant, excluding Proboscidea",32530,4.48368984144935
"Extant, excluding Proboscidea",33826,4.532161054301
"Extant, excluding Proboscidea",35174,4.5807543323807
"Extant, excluding Proboscidea",36576,4.62946216892788
"Extant, excluding Proboscidea",38034,4.67827475206137
"Extant, excluding Proboscidea",39550,4.72718032468527
"Extant, excluding Proboscidea",41126,4.77616551407186
"Extant, excluding Proboscidea",42765,4.8252450257133
"Extant, excluding Proboscidea",44469,4.87439989494677
"Extant, excluding Proboscidea",46241,4.92363786238423
"Extant, excluding Proboscidea",48084,4.97296229343365
"Extant, excluding Proboscidea",50000,5.02234742465428
