"mass_t","estimate","lower95","upper95"
0.05,0.066887417218543,0.0596026490066225,0.0746136865342163
0.0516265609873806,0.0658131760475093,0.0586367220604239,0.0734282552192781
0.0533060359876746,0.0647513673404095,0.057732978922158,0.0721938908968252
0.0550401463582637,0.0637019035120224,0.0568639231993143,0.0710534758008019
0.0568306694543851,0.0626646971938788,0.0560021099509707,0.0699529796418734
0.0586794404508096,0.0616396612347241,0.0550708208670752,0.068841350912159
0.0605883542227818,0.0606267087009855,0.0541534280278908,0.0677323350831912
0.0625593672881493,0.0596257528772413,0.0532586601831625,0.0665813805273027
0.0645944998126716,0.0586367072666939,0.0524004566890785,0.0654636875629439
0.0666958376805647,0.0576594855916461,0.0514926982563966,0.064446987754337
0.0688655346324022,0.0566940017939804,0.0505988846312652,0.0633613452851094
0.0711058144725657,0.0557401700356419,0.0497440603725513,0.0623319634457057
0.0734189733485056,0.0547979046991243,0.0488908208134213,0.0612882352324703
0.0758073821041499,0.0538671203879597,0.0480134907271437,0.0602611737580616
0.0782734887098712,0.0529477319272115,0.0471845387330154,0.0592436138719458
0.0808198207715043,0.0520396543639708,0.046286642119113,0.0582588673070686
0.0834489881209847,0.051142802967857,0.0454559509564536,0.0572887101995849
0.0861636854912643,0.0502570932315207,0.0446477514375238,0.0562893220135728
0.0889666952782447,0.0493824408711515,0.0437972085323737,0.0553362203920312
0.0918608903925601,0.0485187618269887,0.0429541733782399,0.05439246149618
0.0948492372041318,0.0476659722638362,0.0421739306659421,0.0534444447475853
0.0979347985825127,0.0468239885715805,0.0413784317705914,0.0525559960939451
0.101120737036139,0.0459927273657134,0.0405618419516072,0.0516612025955003
0.104410317953702,0.0451721054878577,0.0397835938606716,0.05082358830967
0.107806912950972,0.0443620400062972,0.0390123903477672,0.0499577865692697
0.111314003326491,0.0435624482165109,0.038283699408667,0.0491091003778619
0.114935183629692,0.0427732476417104,0.0375691583866056,0.0482380141936848
0.118674165345081,0.0419943560333826,0.0368707870085765,0.0473982464202729
0.122534780696287,0.0412256913718348,0.0361692465188879,0.0465504884125574
0.126520986573843,0.0404671718667459,0.035466369366278,0.0457495881182696
0.130636868590761,0.0397187159577201,0.0347527884558608,0.0449178785340117
0.134886645270027,0.038980242314846,0.0340210343236692,0.0441778232134721
0.139274672368325,0.0382516698392593,0.033313517831843,0.0434266888376322
0.143805447340415,0.0375329176637104,0.0326597163728655,0.042700815087921
0.14848361394875,0.036823905153136,0.0319865267091584,0.0419836678850658
0.153313967023036,0.0361245519052358,0.0313016207159505,0.0412552217423409
0.158301457374641,0.0354347777510527,0.0306324291066737,0.0405463764336252
0.163451196870863,0.0347545027555587,0.0300108123106591,0.0398489516448213
0.168768463674279,0.0340836472182451,0.0293625130503222,0.039128089633476
0.174258707652534,0.0334221316737169,0.0287426388259168,0.038403627312931
0.179927555964113,0.032769876892293,0.0281564697367377,0.03770219074138
0.185780818825832,0.0321268038806101,0.027557474176658,0.037033701808137
0.191824495467947,0.0314928338822329,0.0269740903502481,0.0363505415157508
0.198064780282989,0.030867888378268,0.0263678484459474,0.0356738583082137
0.204508069174638,0.0302518890879833,0.0257968619790692,0.0349781821451219
0.211160966113118,0.0296447579694332,0.0252242513328935,0.0342997131020518
0.218030289903862,0.0290464172200883,0.0246483104889175,0.0336805962035797
0.22512308117636,0.02845678927747,0.0240989535568331,0.0330706471005758
0.232446609600367,0.027875796819792,0.0235540161178232,0.0324709992021769
0.240008381336864,0.0273033627666053,0.0230421367149508,0.031903960082285
0.247816146731402,0.0267394102794503,0.0225370305751584,0.0312915967323061
0.255877908257728,0.0261838627625135,0.0220061796216532,0.0307205806054998
0.26420192871982,0.0256366438632907,0.0215050033854512,0.0301448798468015
0.272796739720747,0.0250976774732547,0.0210004944076379,0.0295642460706275
0.281671150407035,0.0245668877285307,0.0205094868089019,0.0290014876746674
0.290834256497488,0.0240441990105754,0.0200400464377992,0.0284432596076169
0.300295449605742,0.0235295359468645,0.0195751272803775,0.0278772789725475
0.310064426866074,0.0230228234115841,0.0191164144951251,0.0273302139873627
0.320151200872371,0.0225239865263298,0.0186648186468714,0.0267632633512446
0.330566109940412,0.0220329506608116,0.0182143195854951,0.0262289274610699
0.341319828703997,0.0215496414335651,0.0177685078488558,0.0257319748036837
0.352423379055784,0.0210739847126693,0.0173475820177159,0.0251990944128775
0.363888141444044,0.0206059066164708,0.0169439032028049,0.0246902194970359
0.37572586653691,0.0201453335143153,0.0165367331388009,0.0241941941347822
0.387948687266084,0.019692192027285,0.0161402534837079,0.0236824711169276
0.400569131262335,0.0192464090289436,0.0157547685170968,0.0231841736408492
0.41360013369554,0.0188079116460883,0.0153672202840108,0.0227035559216902
0.427055050532431,0.018376627259508,0.0149814383572448,0.0222279928609253
0.440947672225629,0.0179524835047504,0.0145911545277154,0.0217541134057273
0.455292237847999,0.0175354082728948,0.014209614776697,0.0212851519185178
0.470103449686814,0.0171253297113332,0.0138409976108381,0.0208292313749229
0.485396488312686,0.0167221762245593,0.0134861399700393,0.0203751702203832
0.501187028138706,0.0163258764749642,0.0131403249589756,0.0199181453938752
0.517491253485738,0.0159363593836413,0.0128039076111414,0.0194751756548107
0.53432587517035,0.0155535541311977,0.0124718259444254,0.0190382923407706
0.551708147632352,0.0151773901585749,0.0121462938363008,0.0186146995829004
0.569655886619528,0.0148077971678772,0.011803187310621,0.0182010358098011
0.588187487447668,0.014444705123209,0.0114908187176289,0.0177985184092877
0.607321943854624,0.0140880442515195,0.0111783902426618,0.017408959380451
0.627078867467706,0.0137377450434576,0.0108784310510256,0.0170050164502535
0.647478507904381,0.0133937382542345,0.0105835481243272,0.0165984556607946
0.668541773526874,0.0130559549044959,0.0102947415747048,0.0162013369168004
0.690290252871936,0.012724326281203,0.0100123445464361,0.0158114731190274
0.712746236777747,0.0123987839385232,0.0097402094931149,0.0154376453343204
0.735932741230647,0.0120792596987297,0.00945876834365194,0.0150753264408561
0.759873530955084,0.0117656856531115,0.00918516803367682,0.014711166808007
0.784593143770977,0.0114579941628927,0.00893069143143303,0.0143586602073204
0.810116915743461,0.011156117860162,0.00867211636557574,0.0140132369552666
0.836471007150769,0.0108599896488122,0.00841990187950291,0.0136748455725276
0.863682429296897,0.0105695427054906,0.00817897950591465,0.0133412368606914
0.891779072196506,0.0102847104805592,0.00794127021398667,0.0130024418304998
0.920789733160451,0.0100054266990665,0.00770667247384612,0.0126663128373254
0.950744146311239,0.00973162536172997,0.00747088170887541,0.0123459462457095
0.981673013058646,0.00946324074592925,0.00724149167917633,0.0120407865550679
