"dataset","richness","m","return_level_t","lower95_t","median_t","upper95_t"
"Late-Quaternary fauna","sauropod_scale",200,1.91000513250999,1.40521661072251,1.90267344500226,2.55499430897606
"Late-Quaternary fauna","full_fauna",4530,13.7483524780469,8.00254814354054,13.5313003340703,23.8624686952127
"Extant fauna","sauropod_scale",200,0.381896669897153,0.263139647364689,0.379662003594182,0.523080794690266
"Extant fauna","full_fauna",4530,3.75795337624264,1.53813607960353,3.58897473502556,8.12170818122229
