"threshold_probability","threshold_kg","n_exc","mean_excess","mean_excess_se","xi","xi_lower95","xi_upper95","endpoint_t","endpoint_finite_lower95_t","endpoint_finite_upper95_t","proportion_unbounded"
0.700220750551876,0.9,1358,2.54625334957094,0.053432961079311,-0.315160020704226,-0.355019322158538,-0.279746784276364,36.4737731352098,15.9383472538219,81.6399147308352,0
0.710154525386314,0.9924,1313,2.533873717521,0.0537273451474588,-0.318555503635318,-0.364967097703914,-0.285473607447934,34.9188317892409,15.8468359850033,78.2589962605328,0
0.720088300220751,1.1385,1268,2.48454820654921,0.0540072339727611,-0.313264854107459,-0.360964538713534,-0.272408702853282,37.5445749446725,16.1723949413894,86.7979044857809,0
0.730684326710817,1.3,1220,2.44637038896774,0.0543823975833379,-0.311266212654936,-0.362412178238411,-0.275874945874765,38.4741452261965,14.3924088358714,87.4076542984918,0
0.741721854304636,1.5,1170,2.40383172971422,0.0548139644406988,-0.308401058452893,-0.357322926694575,-0.274580592374546,40.1000449408547,16.7079611962899,81.2794005159702,0
0.750110375275938,1.7,1132,2.35686654682673,0.0551657846453297,-0.302210789384804,-0.353971967633476,-0.268624063909532,43.8705475798388,16.456009187492,99.215257290177,0
0.760044150110375,1.9692,1087,2.3042955459518,0.0556233559308167,-0.295301134558037,-0.353204270497837,-0.257794631245291,48.8777870383142,15.5935318201708,117.208812199743,0
0.770198675496689,2.3,1041,2.24753401168945,0.0561509513674016,-0.287066650862294,-0.337806931478646,-0.250145259164561,55.9962895904594,19.3183206648952,151.603868405481,0
0.780132450331126,2.63,996,2.21169621981814,0.0567450452386864,-0.284783200207212,-0.340055710190541,-0.240137379006475,58.1704049478999,19.2057719782447,158.695193644822,0
0.791611479028698,3,944,2.19768594863025,0.0574769807320664,-0.29089220182354,-0.351651264912684,-0.250650447866299,52.6607510384934,17.8008170366221,141.805579190896,0
0.8,3.35,906,2.17697837222545,0.0580180071442832,-0.293014338485536,-0.348075311996768,-0.244728219911905,50.8894186726991,16.3008365412393,155.680615548304,0
0.811258278145695,4,855,2.12300194430862,0.0588481516312555,-0.28705622556944,-0.349620724036135,-0.237941088143173,55.956085164842,17.3632652765274,201.555115026694,0
0.820088300220751,4.57,815,2.09054610069078,0.0595390057830149,-0.285737610476921,-0.34109072871054,-0.236550210391979,57.2820529852914,18.742276728015,208.646687830565,0
0.830022075055188,5.4,770,2.04058859384175,0.0604104916107446,-0.279917605323813,-0.346354590358773,-0.235203636945801,63.1687129318237,18.2323350788494,209.039519004379,0
0.84083885209713,6.3,721,2.01961289943028,0.0614439778632884,-0.286264884246919,-0.357555344997843,-0.229064849252286,56.9098597667328,16.2731454791594,209.71649779809,0
0.850110375275938,7.0853,679,2.02317752176815,0.062339232627548,-0.300370531538621,-0.373213335398549,-0.244967211509322,46.2124606613438,14.4550096898756,158.186029044806,0
0.860264900662252,8.0234,633,2.04041437616219,0.0632744180330266,-0.320697824636521,-0.393983649337467,-0.270618399067111,35.9895526278726,12.6104306463808,89.3033934019219,0
0.870419426048565,9.5,587,2.02370898583832,0.0641235747145334,-0.330947129596768,-0.401036455762142,-0.277714824695627,32.3189683916845,12.2085861165165,77.4553328184353,0
0.880353200883002,11.5,542,1.99285024378504,0.0648415094706745,-0.337824933246864,-0.416488445158986,-0.282492266946427,30.2894923893505,12.0150877601762,73.543264831008,0
0.890507726269316,14.5,496,1.93531432255611,0.0655568456255552,-0.338181148646291,-0.418507181334336,-0.289857006352102,30.2040870673665,12.329846508808,69.4642943582102,0
0.9,19,453,1.83598215714969,0.0663793278190707,-0.323643590936222,-0.408260472939785,-0.264016455557595,34.5637832365516,13.1583971805002,92.2532323733911,0
0.910816777041943,25,404,1.76714553689274,0.0676001830665717,-0.32282349737639,-0.416650386663501,-0.254248776996561,34.8698482458071,12.6435179636693,105.6538091257,0
0.920309050772627,34,361,1.65230774466404,0.0689498974384882,-0.300354899695663,-0.404750359309814,-0.230873615642336,44.1915480402764,12.8858925839071,156.557144169208,0
0.930022075055188,47.4996,317,1.52083583644557,0.0713769576381355,-0.262684118294217,-0.379443617415138,-0.181287861106218,73.7721342364877,16.0049477008732,742.702099766347,0
0.933112582781457,50,303,1.53786961318615,0.072297939864785,-0.282670771899484,-0.400206448205462,-0.201793225518685,55.433083506416,12.9526472376083,341.985246398218,0
0.940176600441501,64,271,1.45749865683556,0.0745850669465292,-0.26288545556616,-0.376183859884297,-0.168388171477505,73.4143059515171,15.3053593065122,1018.73517856981,0
0.950110375275938,86.034,226,1.41960788063693,0.0788598520179493,-0.284665397249711,-0.423105050702198,-0.199622175561854,54.6418530131154,12.9393268887733,301.322158756228,0
0.960044150110375,130,181,1.31477309286895,0.083888676464949,-0.274728766103584,-0.426565479325695,-0.187376815113003,61.5270641660052,13.0701661767884,402.754554741716,0
0.972406181015453,200,125,1.3682766801856,0.0928097758482375,-0.416688405835638,-0.627181015231768,-0.296738763435945,21.6943264206781,9.07334308741776,50.8822641834498,0
