"analysis","n","n_exc","xi","xi_lower95","xi_upper95","proportion_unbounded","endpoint_t","endpoint_upper_one_sided95_t","return_level_m200_t","lower95_m200_t","upper95_m200_t","bootstrap_requested","bootstrap_successful","bootstrap_failed"
"All PHYLACINE masses",4530,303,-0.282670771899484,-0.377740179108771,-0.191788524612589,0,55.433083506416,256.720472942698,1.91000513250999,1.40521661072251,2.55499430897606,2000,2000,0
"Exclude Mass.Method == 'Imputed'",4355,300,-0.286464609311604,-0.386370658489697,-0.198813687437165,0,53.2262792013505,212.008757220662,1.98702219761266,1.45416420795909,2.62292433565564,2000,2000,0
"Extant, excluding Proboscidea",4192,137,-0.216538166478693,-0.384435112128061,-0.0862516233614252,0,16.0690097170155,982.261894160305,0.343880212235064,0.249894697817859,0.460734840819068,2000,2000,0
