trait,u0_quantile,u0,xi_hat,sigma_hat,y_star_hat_log,wald_p_xi_lt_0,n_exceed,n_total_used
SVL,0.9,5.0592984660755365,-0.3835141477659275,0.1448605706648872,5.437017440743717,7.032797563709757e-32,313,3297
TL,0.93,5.744348436402863,-0.4121515343083395,0.1270473623902644,6.0526024444911055,1.0304075459706213e-16,217,3167
