trait,u0,xi_hat,sigma_hat,y_star_hat_log,wald_p_xi_lt_0,n_exceed,n_total_used
SVL,5.151671786206552,-0.33595136367152023,0.10048057784505046,5.450764418982099,7.026737737331155e-10,150,3297
TL,5.791976485392118,-0.3629191639928947,0.0991603575709141,6.065206359725388,5.602459834408253e-8,149,3167
