trait,u0,xi_hat,sigma_hat,y_star_hat_log,wald_p_xi_lt_0,n_exceed,n_total_used
LF,7.420885524119228,-0.42250145111398896,0.1822367441583486,7.8522136146567965,0.11145571636912743,23,109
CF,6.595780513961311,-0.3556211325102453,0.18307654442700452,7.1105883464843975,0.026383979171381442,21,101
CH,6.4273273120992265,0.06095179985601964,0.10350714392154493,NA,0.5550356245987247,16,85
