trait,u0_quantile,u0,xi_hat,sigma_hat,y_star_hat_log,wald_p_xi_lt_0,n_exceed,n_total_used
LF,0.79,7.420885524119228,-0.42250145111398896,0.1822367441583486,7.8522136146567965,0.11145571636912743,23,109
CF,0.79,6.595780513961311,-0.3556211325102453,0.18307654442700452,7.1105883464843975,0.026383979171381442,21,101
CH,0.78,6.402842371924272,-0.0494851132220291,0.12119633016004061,8.851989646100622,0.43444998295088266,19,85
