"SVL"
168.3
157.1752
127
125.7
110.5
137.4
137.2
131.2
168
114.3
126
177.8
177.8
119.1
168.9
120.5
142.2
142.2
119.4
180.3
175.3
182.9
146.1
121.9
163
124
135
128.3
163.8
123.7
153.7
168.9
123.5
125.7
99.7
147.5
126.5
135.3
134.6
136.1
131
133.4
130.6
129.5
168.9
172.7
114.8
120
143
116.2
113
109.2
136.5
129.5
133.4
129.5
92.7
120
134
142
137.8
124.5
137.8
170.2
174.6
113
134.6
151.1
127.5
133
130.8
96.5
94
139.1
203.2
200.7
200
200.7
119.9
113.5
134.6
120
191.8
194.6
172.7
118.4
139.4
96.8
119.1
137.7
143.5
143
137.5
194.3
192.5
194.3
140.3
170.2
124.1
111.3
108.3
189.5
94
137.4
121.6
154.2
145.8
146.1
144.8
147.3
147.3
125.7
127
144.1
146.1
138.4
137.2
192.2
191.5
189.9
116.6
172.5
101.9
141
189.2
168.9
149.1
187.4
186.9
147.6
137.2
139.7
131.5
127.5
102.9
130.8
131.7
117.7
200
140.5
134.6
133
135.9
175.3
133.9
54.2
32.4
38.2
39.8
25.9
33.2
27.1
37.2
24
39.6
22.1
72.4
48.9
36.8
35.7
29.2
35.7
40.1
34.4
112.9
35.4
113.2
35.7
122.8
29.9
118.2
31.1
29.9
80.1
32.6
133.5
54.5
54.9
33.2
32.9
102.7
115
45.7
149.4
69.9
126.9
118.4
87.2
126.1
35.9
32.6
34.5
29.5
26.6
39.1
24.8
40.1
24.8
64
23.5
46
26.1
47.7
20.7
90
86.4
80.1
50.9
127.4
27.4
103.7
28.1
38.7
27.4
29.5
26.1
28.8
68.6
53.5
22.5
119
23.4
148.1
130.9
47.4
83.9
105.3
88.6
99.3
132.2
128.2
