ID,Sex,Year,OD,PA,SVL,BMI,mg_kg,OL
NASA5203,2,2011,272,14.9608013,146.5,0.225255973,0.1881,0
NASA5204,2,2008,169,11.35418788,110,0.209090909,0.1374,0
NASA5207,2,2014,289,23.09604632,142,0.211267606,0.3109,0
NASA5212,2,2010,295,23.72695393,163,0.217791411,0.1246,0
NASA5212,2,2010,343,23.85846078,157,0.229299363,0.1057,0
NASA5213,2,2008,177,18.30369737,144,0.232986111,0.0976,0
NASA5214,1,2008,177,14.51196424,107,0.168224299,0.1805,0
NASA5229,1,2008,192,30.34836249,131,0.240458015,0.1519,0
NASA5253,1,2008,227,24.13359233,126,0.214285714,0.173,0
NASA5253,1,2010,236,26.16098959,129,0.203488372,0.226,0
NASA5256,2,2008,228,23.49080049,159.5,0.24137931,0.1979,0
NASA5257,2,2008,228,17.01282837,139,0.230215827,0.2448,0
NASA5265,2,2008,256,22.10798388,156,0.153846154,0.5097,0
NASA5267,2,2008,270,22.87831206,158,0.248417722,0.1691,0
NASA5274,1,2008,270,11.90183593,97.5,0.2,0.1207,0
NASA5286,1,2008,283,25.07856448,127,0.222440945,0.2209,0
NASA5289,2,2008,288,12.51462642,117,0.213675214,0.2056,0
NASA5297,2,2008,289,43,187.2,0.225694444,0.1098,0
NASA5299,2,2009,173,27.27154741,163,0.214723926,0.1239,0
NASA5328,1,2010,56,23.01296932,127,0.200787402,0.3422,0
NASA5348,2,2009,16,25.05733012,163,0.205521472,0.1752,0
NASA5348,2,2011,349,27.96965889,160,0.20625,0.3181,0
NASA5349,1,2009,16,21.11103461,122,0.204918033,0.0358,1
NASA5365,2,2009,37,23.702227,160,0.21875,0.1988,0
NASA5369,2,2009,203,22.17637028,156,0.235576923,0.1386,0
NASA5371,2,2009,44,17.513135,141,0.210992908,0.235,0
NASA5376,1,2009,56,16.23844746,112,0.214285714,0.2932,0
NASA5379,1,2012,121,21.74821086,120,0.2125,0.0868,0
NASA5387,2,2009,72,17.01282837,139,0.221223022,0.1919,0
NASA5411,1,2009,168,13.46655998,103.5,0.217391304,0.067,0
NASA5411,1,2010,74,14.20902573,105,0.204761905,0.101,0
NASA5413,1,2009,173,31,135,0.216666667,0.1878,0
NASA5414,2,2009,173,13.97604704,125,0.224,0.1914,0
NASA5422,1,2009,198,31,133.5,0.220973783,0.1766,0
NASA5428,1,2009,203,22.49691656,124,0.221774194,0.0916,0
NASA5430,2,2009,209,16.06861806,135,0.212962963,0.1555,0
NASA5450,1,2009,264,27.33139411,129,0.205426357,0.159,0
NASA5472,2,2011,244,33.91192822,176,0.232954545,0.0603,0
NASA5475,1,2009,308,15.16519638,109,0.194954128,0.0859,0
NASA5483,2,2009,308,16.29809494,136,0.235294118,0.2344,0
NASA5487,2,2009,317,23.702227,160,0.21875,0.1851,0
NASA5491,1,2009,324,23.27828056,125,0.228,0.0971,0
NASA5494,2,2009,324,17.26046335,140,0.203571429,0.2541,0
NASA5505,2,2009,351,14.17066296,126,0.226190476,0.166,0
NASA5510,1,2009,365,15.5095321,110,0.222727273,0.146,0
NASA5517,2,2010,27,36.27002469,178,0.223314607,0.1578,0
NASA5517,2,2014,94,40.45358634,172,0.172965116,0.2519,0
NASA5517,2,2014,142,40.58509319,174,0.162356322,0.1941,0
NASA5519,2,2010,27,20.05669156,150,0.23,0.4501,0
NASA5519,2,2010,60,20.14710251,150,0.236666667,0.5679,0
NASA5527,1,2010,29,18.35683544,117,0.217948718,0.275,0
NASA5528,2,2014,37,27.72414481,156,0.179487179,0.2271,0
NASA5533,2,2010,41,20.70226697,152,0.202302632,0.4014,0
NASA5534,2,2010,46,16.53183664,137,0.222627737,0.2787,0
NASA5537,2,2010,46,13.97604704,125,0.212,0.1886,0
NASA5537,2,2011,326,15.74317033,130,0.207692308,0.1736,0
NASA5539,2,2010,56,22.10798388,156,0.16025641,0.6913,1
NASA5542,1,2010,56,16.62531474,113,0.212389381,0.1591,0
NASA5545,1,2010,60,16.62531474,113,0.203539823,0.1219,0
NASA5548,2,2010,70,18.86048016,146,0.174657534,0.2389,0
NASA5549,1,2010,74,15.5095321,110,0.222727273,0.121,0
NASA5550,2,2010,74,19.14868041,147,0.207482993,1.0674,1
NASA5576,2,2010,97,19.14868041,147,0.231292517,0.1356,0
NASA5592,2,2012,121,18.96536224,142,0.218309859,0.0169,1
NASA5592,2,2012,342,19.57020542,142,0.242957746,0.0441,0
NASA5602,2,2010,260,25.05733012,163,0.236196319,0.1912,0
NASA5603,2,2010,260,13.13431311,120.5,0.22406639,0.1009,0
NASA5604,1,2010,260,18.84551367,118,0.228813559,0.2129,0
NASA5606,2,2010,314,17.64142931,141.5,0.204946996,0.1081,0
NASA5607,1,2010,302,26.13451437,128,0.19921875,0.2006,0
NASA5609,2,2010,302,21.03852675,153,0.200980392,0.1452,0
NASA5609,2,2012,9,22.23572714,154,0.136038961,0.2092,0
NASA5615,1,2010,314,20.48993924,121,0.198347107,0.2006,0
NASA5627,1,2010,355,18.84551367,118,0.190677966,0.1685,0
NASA5657,1,2011,104,23.27828056,125,0.236,0.1395,0
NASA5658,2,2011,82,8.87736196,93,0.209677419,0.0481,0
NASA5661,1,2011,104,15.8669241,111,0.202702703,0.1289,0
NASA5669,1,2011,133,10.65767498,92,0.203804348,0.0882,0
NASA5671,2,2014,255,31.05161958,170.5,0.219941349,0.1349,0
NASA5688,1,2011,227,23.27828056,125,0.212,0.2861,0
NASA5688,1,2014,216,26.24814358,124,0.151209677,0.2302,0
NASA5691,1,2011,237,12.14582592,98.5,0.223350254,0.1498,0
NASA5695,1,2011,259,28.713193,130,0.219230769,0.2436,0
NASA5696,2,2011,280,10.5808554,105,0.228571429,0.113,0
NASA5697,1,2011,280,12.91654365,101.5,0.221674877,0.1886,0
NASA5712,2,2012,5,21.38448817,154,0.233766234,0.1471,0
NASA5712,2,2013,44,22.49133749,155,0.225806452,0.1708,0
NASA5715,2,2012,9,18.57892467,145,0.227586207,0.1926,0
NASA5716,1,2012,9,17.02890056,114,0.210526316,0.4213,0
NASA5747,2,2012,83,13.78428717,124,0.225806452,0.2681,0
