,Route,Head.Length,SV.length,Total.Length,Tail.Girth,Neck.Girth,Chest.Girth,Weight,Sex,Deformities_Notes
84,WCA3A-TW_Marsh,30,113,211,49,44,53,NA,F,None
85,WCA3A-TW_Marsh,21,82,161,33,32,37,NA,M,None
86,WCA3A-TW_Marsh,19,74,150,29,29,34,NA,M,None
87,ENP-FC,23.5,94,182,38,36,43,18.25,M,None
88,ENP-SS,24.6,90,178,36.5,39,46,16.5,F,None
89,ENP-SS,26.7,98.8,195,37.5,35.7,46.1,21,M,Few head and tail scars
90,ENP-SS,24,91.3,182.5,37,36,45.1,17,M,None
91,ENP-SS,18.7,69.3,142,29,29,34,6.9,M,None
92,Lox_Marsh,28.7,105,202,46,42,54,28,F,4th single scute is notched
93,Lox_Marsh,18.5,67,122,28,28,33.5,6.5,M,Top of tail deformed
94,Lox_Marsh,20.3,73.5,144.5,31.5,30.5,36,9,F,None
95,Lox_Marsh,21,77.5,154,32,30.5,37,9.5,M,None
96,Lox_Marsh,31,115,223,49,44,57,32,M,None
97,WCA3A-N41_Marsh,24,88,177,37,35,40,17,F,None
98,WCA3A-N41_Marsh,22,86,172,34,35,40,14,M,None
99,WCA3A-N41_Marsh,24,94,183,37,36,44,18,M,None
100,WCA3A-N41_Marsh,26,98,189,40,37,44,20,M,None
101,WCA3A-N41_Marsh,20,78,156,29,26,33,9.5,M,None
102,WCA3A-N41_Marsh,25,100,195,40,41,47,20,M,None
103,WCA3A-N41_Marsh,19,72,144,28,27,31,8,M,None
104,WCA3A-N41_Marsh,21,79,159,33,31,36,12,M,None
105,WCA3A-N41_Marsh,20,77,155,30,28.5,37,10.5,M,None
106,WCA3A-N41_Marsh,17.7,68.5,134.5,26.8,27.1,34.8,6,F,None
107,WCA3A-N41_Marsh,18.8,68,133,27,25.5,30,6.75,M,None
108,WCA3A-N41_Marsh,24,91.5,185,36.5,36.6,46,19,M,None
109,WCA3A-N41_Marsh,16.5,62,128,25.2,23.8,30.7,5.6,M,None
110,Lox_Marsh,26.3,98,197,39,39,44,20,F,"Been in fight - bite marks tail, neck - cuts in back uko, 1st single part split"
111,Lox_Marsh,29.5,109,215,45,42,56,27.5,F,None
112,Lox_Marsh,21.5,76,155,31,29.5,37,9,F,None
113,Lox_Marsh,19.5,73.5,148.5,31.5,28,35,9,M,Broken right rear leg
114,WCA2A_Marsh,23.5,90,176.5,35,35.5,45.6,15.25,F,None
115,WCA2A_Marsh,19.7,73.5,145.8,27.9,27,36,7.75,M,None
116,WCA2A_Marsh,27.6,101.8,201.6,40.3,38.9,52.6,20.5,F,Fresh wound at corner of mouth
117,WCA2A_Marsh,15.3,54.3,112.2,19.7,19.8,24.4,3,F,None
118,WCA2A_Marsh,30.4,114.1,219,43.8,44.4,55.6,NA,M,None
119,WCA2A_Marsh,23.1,87.5,172.5,35.5,35.5,44,13.75,F,None
120,WCA3A-TW_Marsh,17.8,62.2,127.4,22.4,23,29.5,5.2,M,None
121,WCA2A_Marsh,19.8,74.5,145,28.5,27.8,35.4,9,M,None
122,WCA2A_Marsh,22.9,85.5,165,32.5,32.1,42,12.25,F,None
