,Route,Head.Length,SV.length,Total.Length,Tail.Girth,Neck.Girth,Chest.Girth,Weight,Sex,Deformities_Notes
1158,WCA3A-HD_Canal,30.1,114.6,222.9,43.7,NA,NA,32,F,ND
1159,WCA3A-HD_Canal,27,98.8,192.8,41.4,NA,NA,22,F,ND
1160,WCA3A-HD_Marsh,14.8,52.5,103,19,NA,NA,2.7,M,None
1161,Lox_Marsh,32.5,116.8,233.5,47.3,NA,NA,30,M,None
1162,ENP-EST,27.4,98.5,195,39,NA,NA,21.5,M,ND
1163,ENP-EST,23.1,90.5,179.6,32.4,NA,NA,15.6,F,ND
1164,ENP-EST,33.3,123.5,242,48.2,NA,NA,49,M,ND
1165,ENP-EST,27.5,103.5,203.5,39.4,NA,NA,37,M,ND
1166,ENP-EST,28,100.8,212.4,40.6,NA,NA,24.5,M,ND
1167,ENP-EST,30.7,112.7,224,48,NA,NA,42,M,ND
1168,Lox_Marsh,30,102.8,211,41,NA,NA,22.5,M,None
1169,Lox_Marsh,25.2,92.5,157.3,36.8,NA,NA,15,F,Incomplete tail
1170,Lox_Marsh,36,133.5,256,51.5,NA,NA,45,M,None
1171,Lox_Marsh,37.2,141.4,270.2,54.8,NA,NA,52,M,None
1172,Lox_Marsh,21,78.6,148.2,27.7,NA,NA,8.1,M,None
1173,Lox_Marsh,27.4,105.9,204.1,40.2,NA,NA,25,F,None
1174,Lox_Marsh,25.4,95,188.3,40.7,NA,NA,20.5,F,None
1175,Lox_Marsh,26.3,98.6,195.4,38.7,NA,NA,20.5,M,None
1176,Lox_Marsh,31.6,122.6,227.6,39.5,NA,NA,30,M,None
1177,Lox_Marsh,33.5,116,220.2,46.5,NA,NA,35.5,M,None
1178,Lox_Marsh,19.5,67.4,135.5,26.7,NA,NA,6.4,F,None
1179,Lox_Marsh,22.9,84.7,169.6,34,NA,NA,12,M,None
1180,Lox_Marsh,17.8,65.5,129.8,25.5,NA,NA,5.6,F,None
1181,Lox_Marsh,23.2,89.3,169.4,34.3,NA,NA,16.6,M,None
1182,WCA2A_Marsh,31.4,115,221.4,40.5,NA,NA,27.5,F,ND
1183,WCA2A_Marsh,27.2,97.7,201,41.6,NA,NA,23,F,ND
1184,WCA2A_Marsh,36.5,125.8,216.2,35.3,NA,NA,30.5,M,ND
1185,WCA2A_Marsh,14.5,50.2,102.9,19,NA,NA,2.4,F,ND
1186,WCA2A_Marsh,25.6,92.5,181.8,31.5,NA,NA,13.5,M,ND
1187,WCA2A_Marsh,21.8,78,157.4,27.5,NA,NA,8.3,M,ND
1188,WCA2A_Marsh,15.8,56.1,117.4,21,NA,NA,3.6,F,ND
1189,WCA2A_Marsh,15.9,58.8,117.6,21.5,NA,NA,3.7,M,ND
1190,WCA2A_Marsh,24.8,86.2,173,33,NA,NA,12.5,M,ND
1191,WCA2A_Marsh,26.9,97,191,38.5,NA,NA,21,F,4th single deformed
1192,WCA2A_Marsh,22.2,84.4,173.1,31.3,NA,NA,12.25,F,ND
1193,WCA2A_Marsh,17.4,62.6,125.5,21.7,NA,NA,4.5,M,ND
1194,WCA2A_Marsh,18.2,66.8,136,25.4,NA,NA,6.25,F,ND
1195,WCA2A_Marsh,22.3,82.7,162.3,29.4,NA,NA,10.5,M,ND
1196,WCA2A_Marsh,37.8,137,272,54.9,NA,NA,62,M,ND
1197,WCA3A-TW_Marsh,24.7,92,183.5,34.5,NA,NA,15.1,M,None
1198,WCA3A-TW_Marsh,20.6,77.9,153,30.9,NA,NA,10.4,F,None
1199,WCA3A-TW_Marsh,32,116.4,239,46.6,NA,NA,36,F,Scars & cuts on tail
1200,WCA3A-TW_Marsh,16.5,61.4,119.8,21.9,NA,NA,4,F,None
1201,WCA3A-TW_Marsh,10.8,38,76.1,13.3,NA,NA,1.11,M,None
1202,WCA3A-TW_Marsh,28.5,107.1,206.3,41.5,NA,NA,25,F,Missing right rear foot
1203,ENP-EST,35.7,127.5,249.4,52.8,NA,NA,51,M,"Front of left leg missing, missing toe on right front foot"
1204,ENP-EST,30.8,115.2,232,36.8,NA,NA,28,M,Front left foot missing
1205,ENP-EST,28.6,107.1,211.5,39,NA,NA,25,M,None
1206,ENP-EST,31.3,112,222.6,43,NA,NA,31.5,M,12th single deformed
1207,WCA3B_Marsh,13.6,48,98.5,18.5,NA,NA,2.4,M,None
1208,WCA3B_Marsh,27,96.2,190,40.2,NA,NA,21,M,None
1209,WCA3B_Marsh,25.7,96.4,186.5,37.7,NA,NA,18,F,None
1210,WCA3B_Marsh,27.4,97.2,185.3,35.8,NA,NA,16.4,M,None
1211,WCA3A-N41_Marsh,23.6,87.9,172.6,32.9,NA,NA,14.75,M,None
1212,WCA3A-N41_Marsh,15.9,60.2,120.1,22.1,NA,NA,4.3,M,None
1213,WCA3A-TW_Marsh,19.4,69,134.4,26.5,NA,NA,6.3,M,None
1214,WCA3A-TW_Marsh,14,50,102.2,19.3,NA,NA,2.7,F,None
1215,WCA3A-TW_Marsh,18.6,66.5,131.5,25,NA,NA,6.1,M,None
1216,WCA3A-TW_Marsh,29.1,105.1,161.5,44.8,NA,NA,24,F,Incomplete tail
1217,WCA3A-TW_Marsh,17.5,55.2,109,20.3,NA,NA,2.8,M,None
1218,WCA3A-TW_Marsh,19.3,69.3,141.2,25.6,NA,NA,6.6,F,None
1219,WCA3A-TW_Marsh,14.1,49.8,102,17,NA,NA,2.4,F,None
1220,WCA3A-TW_Marsh,37.8,133.2,253.2,51.5,NA,NA,57,M,"Missing right front foot, scar on back"
1221,WCA3A-TW_Marsh,12.5,44.8,89,15.5,NA,NA,2,F,None
1222,WCA3A-TW_Marsh,17.5,62.4,124.7,21.7,NA,NA,4.4,F,None
1223,WCA3A-TW_Marsh,17.1,64.2,128.5,23.5,NA,NA,5.4,F,None
1224,WCA3B_Marsh,16.5,59.1,122.5,21,NA,NA,4.1,M,None
1225,WCA3B_Marsh,26,97.3,189.6,37.7,NA,NA,18.6,F,None
1226,WCA3B_Marsh,24.6,88.8,174.5,33.7,NA,NA,13.6,M,None
1227,WCA3A-N41_Marsh,25,92.2,190,37.2,NA,NA,16,F,"Hole in right rear foot & webbing, appears to have lost a toe tag, retagged"
1228,Lox_Marsh,28.7,106,211,35,NA,NA,23,F,1st single scute is split
1229,Lox_Marsh,13,46.8,93.3,16.5,NA,NA,1.85,F,None
1230,Lox_Marsh,29,105.6,214,38,NA,NA,25.5,F,"Scute marks, 6th single had a v-notch and several other ? & sincle scutes are damaged, algae all over body"
1231,Lox_Marsh,15.4,53.3,109,19.5,NA,NA,3.1,F,Incomplete tail
1232,Lox_Marsh,30.8,111.4,217.5,39.7,NA,NA,24.5,M,Hole in right rear foot webbing
1233,Lox_Marsh,23.5,86.7,173,32.4,NA,NA,12,M,Leech on tail
1234,Lox_Marsh,29.5,110.9,223.2,39.5,NA,NA,28,F,"4th single scure deformed, 1st single split, 2nd & 3rd v-shape notches"
1235,Lox_Marsh,25.3,91.3,185,33.2,NA,NA,15.5,M,Leeches
1236,WCA3A-HD_Canal,9.3,32.5,68,12.2,NA,NA,0.675,M,None
1237,WCA3A-HD_Canal,16.8,61,122.8,23.5,NA,NA,4.7,F,None
1238,WCA3A-HD_Marsh,31.5,119.5,232,44.7,NA,NA,40.6,F,Gash dorsal between rear legs
1239,WCA3A-HD_Marsh,14.6,52.3,106.1,18.2,NA,NA,2.7,F,None
1240,WCA3A-HD_Marsh,17.9,65,129.8,24.5,NA,NA,5.5,F,None
1241,WCA3A-HD_Marsh,19.2,72.5,148.2,26.7,NA,NA,3.7,F,None
1242,WCA3A-HD_Marsh,21.9,79.7,159,30.6,NA,NA,10.2,F,None
1243,WCA3A-HD_Marsh,17.7,NA,126.2,22.8,NA,NA,4.7,F,None
1244,WCA3A-HD_Marsh,15.2,55,108.5,20.7,NA,NA,3.1,F,None
1245,WCA3A-HD_Marsh,13.7,50.3,100.5,19.1,NA,NA,2.2,F,None
1246,WCA3A-HD_Marsh,29.3,107.9,208.3,40.9,NA,NA,25,M,None
1247,WCA3A-HD_Marsh,14,49.6,102.5,20,NA,NA,2.6,M,None
1248,WCA3A-HD_Marsh,29.2,102,200.4,40.4,NA,NA,23.5,F,None
1249,WCA3A-HD_Marsh,20.4,72.1,146,30,NA,NA,8.4,F,None
1250,WCA3A-HD_Marsh,27.2,97.8,198.5,39.3,NA,NA,20.5,M,None
1251,WCA3A-HD_Marsh,14.3,54,109.9,18.2,NA,NA,2.8,F,None
1252,WCA3A-HD_Marsh,15.7,55.8,111.6,20.5,NA,NA,3.4,M,None
1253,WCA3A-HD_Canal,18.4,68.5,139.9,26.2,NA,NA,6.3,M,None
1254,WCA3A-HD_Canal,29.1,104,204.5,41.7,NA,NA,24,F,Small hole in right rear foot where tag would have been; leaches; puncture on rear right hip
1255,WCA3A-HD_Canal,26.8,96.4,193.2,41.5,NA,NA,22,F,None
1256,WCA3A-HD_Canal,30.4,112.5,202,32.8,NA,NA,25.5,F,Incomplete tail
1257,ENP-FC,25,87.4,174.5,35,NA,NA,14,F,None
1258,ENP-FC,17.4,60.3,124,23.7,NA,NA,4.4,M,None
1259,ENP-FC,31,114.7,230,41.5,NA,NA,28,M,None
1260,ENP-FC,23.9,85.8,171,32.5,NA,NA,12.5,M,None
1261,ENP-FC,25.8,95.5,190.5,35.8,18,NA,18,F,None
1262,ENP-FC,29.3,107.8,209.6,31.6,NA,NA,18.5,M,NA
1263,ENP-FC,31.6,117.8,229.1,40.1,NA,NA,29.5,M,None
1264,ENP-FC,21.5,79,152.4,30.3,NA,NA,10,F,None
1265,ENP-FC,21.4,78.1,151,30.5,NA,NA,10,M,None
1266,ENP-FC,25.3,89.8,175,27.1,NA,NA,11.3,M,NA
1267,ENP-FC,25.8,96.1,190.2,36.4,NA,NA,18.8,F,None
1268,ENP-FC,13.8,51.4,104.2,18.3,NA,NA,2.7,F,None
1269,ENP-FC,13.5,47.4,96.5,16.8,NA,NA,2.1,F,None
1270,ENP-FC,17.8,63.4,128,23.1,NA,NA,5.4,F,None
1271,ENP-FC,23.6,84.9,169.1,28.7,NA,NA,12.9,F,None
1272,Lox_Marsh,29,110.6,215,25.5,NA,NA,27,F,"1st Single scute partially split, algae on tail"
1273,Lox_Marsh,24.2,88.3,177.1,32.7,NA,NA,14,F,None
1274,Lox_Marsh,16.5,61.9,127.5,23.9,NA,NA,5.2,M,None
1275,Lox_Marsh,35.3,126.8,251,38,NA,NA,39,M,Scute damaged 8th left double and 3rd right double
1276,Lox_Marsh,28.5,105.5,207,37.8,NA,NA,23,M,None
1277,Lox_Marsh,28.7,114.4,230,43.6,NA,NA,29,F,None
1278,Lox_Marsh,17.3,64.2,127.2,22.4,NA,NA,4.8,F,None
1279,WCA3A-N41_Marsh,18.8,70.2,146.1,28,NA,NA,7.5,F,None
1280,WCA3A-N41_Marsh,27,97.6,193.2,37.8,NA,NA,20,M,Missing 3rd digit on RF
1281,WCA3A-N41_Marsh,21.8,76.9,157.1,30.4,NA,NA,10,F,None
1282,WCA3A-N41_Marsh,19.2,70.6,142.6,28,NA,NA,7.3,F,None
1283,WCA3A-N41_Marsh,17.5,63.5,125.5,26,NA,NA,5.5,F,None
1284,WCA3A-N41_Marsh,18.5,65,130.5,24.2,NA,NA,5.2,F,None
1285,WCA3A-N41_Marsh,37.7,138.5,275.6,54,NA,NA,60,M,None
1286,WCA3A-N41_Marsh,20.7,76.8,151.2,28.8,NA,NA,8,M,Leeches on feet
1287,WCA3A-N41_Marsh,16.1,57.7,115.7,22.5,NA,NA,4.2,M,None
1288,WCA3A-N41_Marsh,14.2,50,99.2,19.1,NA,NA,2.6,M,None
1289,WCA3A-N41_Marsh,14.2,52,103.7,18.9,NA,NA,2.5,M,None
1290,WCA3A-N41_Marsh,25.5,94,185,34.5,NA,NA,16.2,F,None
1291,Lox_L40,32.3,121.5,238.2,49.1,NA,NA,38,M,Missing rear left foot; left eye deformed; 5th single v-notch
1292,WCA3B_Marsh,25.2,96.5,186.2,39.6,NA,NA,19.5,F,None
1293,WCA3B_Marsh,27.2,101.4,196.5,34.3,NA,NA,20,F,None
1294,WCA3B_Marsh,13.5,48.1,97,18.8,NA,NA,2.25,M,None
1295,WCA3B_Marsh,27.6,99.1,196.3,35,NA,NA,18,F,None
1296,WCA3B_Marsh,29.5,109.1,218.5,41.7,NA,NA,27.5,F,Missing 8 & 9 Single scute
1297,WCA3B_Marsh,25.4,93.7,184.2,37.6,NA,NA,19.5,M,None
1298,WCA3B_Marsh,22.9,86,170.2,35.9,NA,NA,14.5,F,None
1299,WCA3B_Marsh,16.7,59.6,117.6,21.8,NA,NA,NA,F,None
1300,BICY_Marsh,12.5,44.9,88.9,16.5,NA,NA,1.6,F,Missing 2 digits on LF
1301,BICY_Marsh,21.1,76.7,148.4,29.3,NA,NA,9.6,M,None
1302,BICY_Marsh,15.5,56.4,113.6,21.1,NA,NA,4,F,None
1303,BICY_Marsh,21.4,75,151.5,29.2,NA,NA,9.4,F,Missing toe on right rear foot
1304,BICY_Marsh,23.4,84.6,168.7,32.7,NA,NA,13,M,None
1305,BICY_Marsh,25.2,98.5,188.5,39.1,NA,NA,19,F,None
1306,BICY_Marsh,23.6,90.8,180.8,35.1,NA,NA,15,M,None
1307,BICY_Marsh,23.8,91,177.2,29.9,NA,NA,14,F,None
1308,BICY_Marsh,33.9,122.5,239.5,50.6,NA,NA,43,M,None
1309,BICY_Marsh,27,98.9,194.6,39.8,NA,NA,19.5,M,None
1310,ENP-SS,25.6,92.4,184.5,38.6,NA,NA,18,F,None
1311,ENP-SS,34.2,129.6,254.5,39.5,NA,NA,36,F,None
1312,ENP-SS,16.9,62.5,125.8,23.8,NA,NA,5,M,None
1313,ENP-SS,28,104.5,202,37.5,NA,NA,22.5,F,None
1314,ENP-SS,20.4,74.1,145.5,28.4,NA,NA,7.75,F,None
1315,ENP-SS,34.4,122,240.5,47.6,NA,NA,39,M,None
1316,ENP-SS,27.2,94.3,185.4,34.4,NA,NA,16,M,None
1317,ENP-SS,14.8,56.8,103.7,20.7,NA,NA,3.2,F,Incomplete tail
1318,ENP-SS,29.3,110.3,214.1,39,NA,NA,25,F,LF 2nd digit a stub
1319,ENP-SS,23.6,93.2,175.4,32.2,NA,NA,14,F,None
1320,ENP-SS,28.1,105.2,195.4,32.9,NA,NA,19.8,F,5th single missing tail scute
1321,ENP-SS,28.6,105.4,200.2,33.5,NA,NA,20.5,F,Incomplete tail
1322,ENP-SS,13.7,50.1,104,18.2,NA,NA,2.7,F,None
1323,ENP-SS,23.8,87.5,168.7,31.8,NA,NA,13.2,F,9th single cut
1324,ENP-SS,19.4,71.7,141,27.6,NA,NA,7.6,F,None
1325,ENP-EST,19.8,72.2,145.6,29,NA,NA,9.6,M,None
1326,ENP-EST,30.6,110.4,211.7,43.4,NA,NA,33,M,None
1327,ENP-EST,32.5,115.5,220.1,33.4,NA,NA,30,M,5th Single cut
1328,ENP-EST,24,88.4,177.4,35.6,NA,NA,17.8,M,None
1329,ENP-EST,22.8,81.1,163.7,31,NA,NA,11.5,M,None
1330,ENP-EST,26,94.4,185.2,38.7,NA,NA,20.5,M,None
1331,ENP-EST,37.8,141.2,265.8,48.8,NA,NA,54,M,None
1332,ENP-EST,34.5,128,249.2,52.6,NA,NA,49,M,None
1333,ENP-EST,26.7,99.2,190.3,38.2,NA,NA,21,F,"Middle web on right rear foot was torn, look like she may have had a tag before"
1334,ENP-EST,33.1,123.8,231.9,48,NA,NA,40,M,None
1335,ENP-EST,28.6,118.6,207.9,40.8,NA,NA,27,M,None
1336,ENP-EST,24.4,86.1,172.3,32.9,NA,NA,13.75,M,None
1337,ENP-FC,15.9,57.5,113,23.8,NA,NA,4.3,F,"Right back leg, 2nd toe from inside missing"
1338,ENP-FC,28.8,104,203.4,42.3,NA,NA,23,M,None
1339,ENP-FC,18.5,66.2,132.5,24.5,NA,NA,5.7,F,None
1340,ENP-FC,29.8,110.2,214.2,40.2,NA,NA,24,M,None
1341,ENP-FC,17.4,64.9,127.5,23.8,NA,NA,3.2,F,None
1342,ENP-FC,36.6,132.2,262.2,45,NA,NA,45,M,None
1343,ENP-FC,24.8,93.7,178.4,31,NA,NA,13.6,F,None
1344,ENP-FC,21.7,78.7,159.8,32.3,NA,NA,11.9,F,None
1345,ENP-FC,18.7,65,128.4,24.7,NA,NA,5.7,F,None
1346,ENP-FC,22.3,84.3,166,34.5,NA,NA,12.9,F,None
1347,ENP-FC,18,70.5,146.9,28.3,NA,NA,8,F,None
1348,ENP-FC,33.9,121.4,234.8,47.6,NA,NA,38.5,M,None
1349,ENP-FC,14.3,50.4,103.9,19.7,NA,NA,2.7,M,None
1350,ENP-FC,22.5,82.5,163.2,31.2,NA,NA,10.5,M,None
1351,ENP-FC,31.2,115,222,43.5,NA,NA,30.1,M,None
1352,WCA3B_Marsh,31.5,116,230.7,47,NA,NA,39,F,None
1353,WCA3B_Marsh,31.6,117.5,230.1,42.7,NA,NA,31,F,Missing front left leg
1354,WCA3B_Marsh,31,116,224.1,46.7,NA,NA,34,M,None
1355,WCA3B_Marsh,23,85.3,174.7,31.1,NA,NA,11.3,F,None
1356,WCA3B_Marsh,30.5,108.5,216.2,33.2,NA,NA,23,M,None
1357,WCA3B_Marsh,29,108.1,224.4,38,NA,NA,25,M,None
1358,WCA3B_Marsh,32.4,114,224.5,46.5,NA,NA,32,M,None
1359,WCA3B_Marsh,25.7,94.5,186.5,37.4,NA,NA,18,M,None
1360,WCA2A_Marsh,20.8,74.9,151.2,30.2,NA,NA,8.6,M,None
1361,WCA2A_Marsh,14.7,52.9,107.2,20.4,NA,NA,2.75,F,None
1362,WCA2A_Marsh,19.5,70.1,142.7,27.2,NA,NA,7.25,M,None
1363,WCA2A_Marsh,34,124.5,240.5,52.9,NA,NA,47,M,None
1364,WCA2A_Marsh,18.5,66.8,134.5,25.5,NA,NA,6.1,M,None
1365,WCA2A_Marsh,16.8,63,127.5,23.6,NA,NA,4.8,F,None
1366,WCA2A_Marsh,26.5,96.8,191.1,37.1,NA,NA,18.5,F,None
1367,WCA2A_Marsh,26.8,100,192,37.8,NA,NA,17.9,F,None
1368,WCA2A_Marsh,30.4,109.3,209.4,42.2,NA,NA,26.2,M,None
1369,WCA2A_Marsh,19.7,71.8,144.5,27.9,NA,NA,7.8,M,None
1370,WCA2A_Marsh,36.6,132.8,262.2,52.6,NA,NA,53,M,None
1371,WCA2A_Marsh,15.1,54.7,113,21.8,NA,NA,3.2,F,None
1372,WCA2A_Marsh,22.1,82,160.5,31.4,NA,NA,11,M,None
1373,WCA2A_Marsh,28.9,106.6,206.5,42.5,NA,NA,24.5,F,None
1374,WCA2A_Marsh,35.5,123.5,206.5,48.1,NA,NA,41,M,Incomplete tail
1375,WCA3A-TW_Marsh,27.5,100.3,193,38.1,NA,NA,19.5,M,Tip of tail bitten.
1376,WCA3A-TW_Marsh,14.9,52.7,106.4,22.4,NA,NA,3.6,F,None
1377,WCA3A-TW_Marsh,15.9,55.5,110.6,21.1,NA,NA,3.9,M,None
1378,WCA3A-TW_Marsh,18.1,65,129,24.6,NA,NA,6.1,F,None
1379,WCA3A-TW_Marsh,30.4,108.3,213.2,46.4,NA,NA,34,F,None
1380,WCA3A-N41_Marsh,18,63.2,129.3,24.7,NA,NA,5.4,F,None
1381,WCA3A-N41_Marsh,23,83.5,162.5,32,NA,NA,6.5,M,None
1382,WCA3A-N41_Marsh,33,119.5,227,48.5,NA,NA,35.2,M,None
1383,WCA3A-N41_Marsh,19.4,69.9,136,27,NA,NA,3.6,M,None
1384,WCA3A-N41_Marsh,21,78.5,156.3,30.7,NA,NA,9.5,M,None
1385,WCA3A-N41_Marsh,28.4,104.3,206.6,45.5,NA,NA,25.2,M,None
1386,WCA3A-N41_Marsh,27.3,102.7,198.5,44.4,NA,NA,24.5,F,None
1387,WCA3A-N41_Marsh,36.7,131.9,255,47.4,NA,NA,47,M,None
1388,WCA3A-N41_Marsh,25.2,91.8,179,36.9,NA,NA,17,M,None
1389,WCA3A-N41_Marsh,28.9,110,224,44.2,NA,NA,33,F,None
1390,WCA3A-N41_Marsh,23.9,90,179,33.3,NA,NA,15.5,F,None
1391,WCA3A-N41_Marsh,16.8,61,120,20.9,NA,NA,4.5,M,None
1392,WCA3A-N41_Marsh,38,139,273,53.3,NA,NA,NA,M,None
1393,WCA3A-N41_Marsh,20.2,76,151,29.5,NA,NA,9.4,F,"5-8 SINGLES
BITTEN-GONE"
1394,WCA3A-N41_Marsh,24.5,95,186.6,38.5,NA,NA,20.5,F,None
1395,WCA3A-HD_Marsh,28.9,102.5,195.3,42.5,NA,NA,25.1,F,None
1396,WCA3A-HD_Marsh,29.3,104.1,205.5,45.5,NA,NA,29,F,None
1397,WCA3A-HD_Marsh,20.9,77.3,153.9,33.7,NA,NA,11.9,F,None
1398,WCA3A-HD_Marsh,29.7,109.2,211.5,48.1,NA,NA,36,F,None
1399,WCA3A-HD_Marsh,22.2,81.8,160,32.6,NA,NA,11.2,F,None
1400,WCA3A-HD_Marsh,15,52.4,105.5,19.7,NA,NA,2.9,M,None
1401,WCA3A-HD_Marsh,18.7,70.2,136.8,27.6,NA,NA,8.4,F,None
1402,WCA3A-HD_Marsh,25.1,92.3,182.7,38.4,NA,NA,17.5,F,None
1403,WCA3A-HD_Marsh,16.2,58.6,118.7,21.6,NA,NA,3.7,F,None
1404,WCA3A-HD_Marsh,25.3,96.8,189.3,39.7,NA,NA,21.1,F,None
1405,WCA3A-HD_Marsh,26.9,99.4,197.2,38.2,NA,NA,19.7,F,None
1406,WCA3A-HD_Marsh,15,55.8,113.4,20.8,NA,NA,3.5,F,None
1407,WCA3A-HD_Marsh,19.8,73.9,147.9,28.9,NA,NA,6.7,F,None
1408,WCA3A-HD_Marsh,31.3,116.3,233.4,43.4,NA,NA,35.2,F,None
1409,WCA3A-HD_Marsh,28.9,107.8,211.9,44.1,NA,NA,29.9,F,Missing 2 toes on Right Front foot
1410,WCA3A-HD_Canal,39.3,138.1,274,54.5,NA,NA,54,M,None
1411,WCA3A-HD_Canal,23.9,86.6,173,33,NA,NA,13.5,F,None
1412,WCA3A-HD_Canal,27.5,101.2,197.5,39.4,NA,NA,21,M,None
1413,WCA3A-HD_Canal,25.4,95.6,191.9,38.9,NA,NA,19.5,F,None
1414,WCA3A-HD_Canal,27,101.4,198.2,38.2,NA,NA,22,M,None
1415,WCA3A-HD_Canal,27.5,104,202.7,40.6,NA,NA,22,F,None
1416,WCA3A-HD_Canal,26.9,101.4,198.5,36.6,NA,NA,23,F,None
1417,WCA3A-HD_Canal,27.4,101.2,205.7,40.2,NA,NA,24,F,None
1418,WCA3A-HD_Canal,47,157.6,299.5,67.7,NA,NA,98.5,M,Incomplete tail
1419,Lox_Marsh,31.5,111.8,216.6,41.5,NA,NA,25.5,M,None
1420,Lox_Marsh,30.7,113.8,212.7,36.6,NA,NA,26,M,None
1421,Lox_Marsh,24.8,91.5,178.8,33.3,NA,NA,16.5,F,None
1422,Lox_Marsh,32.8,114.4,220.3,43.5,NA,NA,33,M,None
1423,Lox_Marsh,25.3,90.9,177.7,36,NA,NA,14.6,M,Left front leg amputated
1424,Lox_Marsh,27.5,100.4,195,39.3,NA,NA,19.5,F,None
1425,Lox_Marsh,34.8,116.4,222.8,46.9,NA,NA,34,M,None
1426,Lox_Marsh,28.6,103.3,200.2,39.7,NA,NA,23,F,None
1427,Lox_Marsh,29.2,108.4,211.2,39.2,NA,NA,23,F,None
1428,Lox_Marsh,20.2,75.4,148.3,30,NA,NA,8.4,M,None
1429,Lox_Marsh,16.7,59.1,122.3,23.1,NA,NA,4,M,None
1430,Lox_Marsh,36.5,127.4,253.8,39.8,NA,NA,34,M,None
1431,Lox_Marsh,30.1,109.2,214.6,31.3,NA,NA,18.4,F,None
1432,Lox_Marsh,24.4,87.6,173.4,31.8,NA,NA,12,M,None
1433,Lox_Marsh,24,86.2,174.1,34.4,NA,NA,13.5,M,None
1434,WCA3A-HD_Canal,29.9,105.5,205.5,43.2,NA,NA,26,F,5th DR is deformed
1435,WCA3A-HD_Canal,20.5,77.9,156,30.5,NA,NA,10,F,None
1436,WCA3A-HD_Canal,21.6,80.5,161.4,33.5,NA,NA,11.8,F,None
1437,WCA3A-HD_Canal,26.8,97.6,187.6,37.7,NA,NA,22,F,None
1438,WCA3A-HD_Canal,21.5,80.7,161.7,32.5,NA,NA,12.2,F,None
1439,WCA3A-HD_Canal,19.3,72.3,146.4,27.3,NA,NA,8,F,None
1440,Lox_Marsh,32.1,114.9,223.9,39.2,NA,NA,25.1,M,Left front leg amputated-right eye cataract
1441,Lox_Marsh,32.5,116.8,233.5,47.3,NA,NA,30,M,None
1442,Lox_Marsh,28.2,106.7,212.4,43.7,NA,NA,25.2,F,None
1443,ENP-EST,28.8,103.1,205,41.7,NA,NA,25,M,Old Scarring on R side of tail.
1444,ENP-EST,38.7,139.5,276.6,63.2,NA,NA,72,M,None
1445,ENP-EST,26.6,95.2,194.6,39.2,NA,NA,21.5,F,None
1446,ENP-EST,29.2,103.7,203.8,41.7,NA,NA,23.5,M,Missing Frong L Leg.
1447,ENP-EST,32.4,117.2,229.1,46.8,NA,NA,40.1,M,Festering wounds/old scar on back.
1448,ENP-EST,33.2,124.3,236.7,44,NA,NA,38,M,None
1449,ENP-EST,35,128.5,247,41,NA,NA,36,M,Funny nob btw eyes.
1450,ENP-EST,31.7,114.5,219,45.6,NA,NA,34.5,M,Open wound back left leg front thigh.
1451,ENP-EST,28,104.6,202.1,38.7,NA,NA,22,M,None
1452,ENP-EST,27.5,97.2,192.3,39.9,NA,NA,20,M,None
1453,ENP-EST,26,94.5,199.3,34.8,NA,NA,18,F,None
1454,ENP-EST,36.3,136.4,265,50.3,NA,NA,51,M,Right hind foot missing 2nd and 3rd toe/claw
1455,ENP-EST,32.5,120.1,235,47.6,NA,NA,41,M,None
1456,ENP-EST,31.4,112.5,216,28.8,NA,NA,20.5,M,Missing left front leg open would on left rear hip/pubic bone
1457,Lox_L40,31.8,116.2,224.9,44.9,NA,NA,37,M,4th single cut
1458,Lox_L40,26.7,99,197.3,38.1,NA,NA,22.5,M,None
1459,Lox_L40,42.5,152,294,55.2,NA,NA,74,M,Right rear leg broken (compound fracture)
1460,Lox_L40,35.8,128.1,247.5,45.9,NA,NA,42,M,None
1461,Lox_L40,37,138.4,278,58.7,NA,NA,65,M,None
1462,Lox_L40,30.7,116.5,220.2,46.5,NA,NA,31,F,None
1463,Lox_L40,24.6,88.3,174.8,35.1,NA,NA,8.6,M,None
1464,Lox_L40,30.9,110.4,224,45.7,NA,NA,27.5,M,None
1465,Lox_L40,21.6,77.9,163.4,32.3,NA,NA,11.6,M,None
1466,Lox_L40,28,102.2,202.8,40.2,NA,NA,22.5,F,None
1467,Lox_L40,33.1,120.4,239.2,40.3,NA,NA,34.2,M,None
1468,Lox_L40,32.6,120.1,228,45,NA,NA,36,M,None
1469,Lox_L40,32.1,115.2,230,45.5,NA,NA,36.5,F,None
1470,Lox_L40,30.5,116.2,182.8,45.5,NA,NA,33,F,Incomplete tail
1471,Lox_L40,34,128.6,258.2,50.4,NA,NA,47,M,None
1472,Lox_L40,34,126.2,249.4,46.6,NA,NA,44.5,M,"Left eye deformed
open wound on top of pelvic girdle"
1473,Lox_L40,22.9,80.4,158.2,29.9,NA,NA,12,M,None
1474,Lox_Marsh,32.2,118.9,234.7,44,NA,NA,32,M,None
1475,Lox_Marsh,27,96.1,182,38.8,NA,NA,21,F,None
1476,Lox_Marsh,26.6,100,197.3,33.1,NA,NA,17,F,None
1477,ENP-SS,27.9,102.1,201,40,NA,NA,25,F,None
1478,ENP-SS,30.8,112,223.1,42.5,NA,NA,28,M,Bites on Tail.
1479,ENP-SS,23.4,85.5,171.4,32.4,NA,NA,14,F,None
