"uncertainty","richness","m","return_level_t","lower95_t","median_t","upper95_t"
"sampling","current_record",200,68.0658892020979,54.9845227995007,67.3496170664416,76.0916468682319
"sampling","mammal_scale",4530,83.1813842275378,59.9914293726784,81.0897952209922,113.027493978998
"reconstruction","current_record",200,68.0658892020979,65.1739543096414,83.5926110746064,109.73976195113
"reconstruction","mammal_scale",4530,83.1813842275378,70.2975645461846,105.712274733787,200.991579217661
"combined","current_record",200,68.0658892020979,59.1795036912465,80.3415440350917,117.571432204105
"combined","mammal_scale",4530,83.1813842275378,62.886151710478,98.0577398019602,232.401496888985
