"uncertainty","n","threshold_t","n_exc","exceedance_fraction","sigma","xi","xi_lower95","xi_upper95","proportion_unbounded","endpoint_t","endpoint_upper_one_sided95_t","observed_max_t","anderson_darling","anderson_darling_p","bootstrap_requested","bootstrap_successful","bootstrap_failed"
"Taxon sampling; published masses fixed",200,22,55,0.275,0.568310132446278,-0.403165081898607,-0.913442062280059,-0.180969283974933,0.001,90.0769104924431,161.831857367773,76.2199536593957,0.407490930383403,0.568715642178911,2000,2000,0
"Allometric residual uncertainty only",200,22,55,0.275,0.568310132446278,-0.403165081898607,-0.739763670446277,-0.183887840873418,0,90.0769104924431,291.009619017138,76.2199536593957,0.407490930383403,0.568715642178911,2000,2000,0
"Taxon sampling + allometric residual uncertainty",200,22,55,0.275,0.568310132446278,-0.403165081898607,-1.11628868680902,-0.118749826398064,0.0062,90.0769104924431,442.855004851183,76.2199536593957,0.407490930383403,0.568715642178911,5000,5000,0
