"m","estimate_t","lower95_t","median_t","upper95_t"
10,35.2740454741069,30.3611511513644,35.4716956842918,41.624933995167
11,36.5429703812072,31.383324124886,36.7427783535738,43.1123940852121
12,37.6972978845968,32.3356769364292,37.867392019577,44.455255262874
13,38.7546082703812,33.2414817544736,38.9243712168146,45.614490584593
14,39.7287957851701,34.0580379921532,39.8718454119382,46.6864693508083
15,40.6310251338198,34.7930260509001,40.7520599644831,47.7068297288763
16,41.4703974960087,35.4816236130413,41.6018655735229,48.6630473716668
17,42.2544257162791,36.112620388064,42.3493025891527,49.5353216024761
18,42.9893806216117,36.7165516429791,43.0714259625224,50.1613838847212
19,43.6805481777643,37.2192188515982,43.7389661328598,50.9173877481494
20,44.3324236298132,37.7290658770239,44.3429017046759,51.5321945794865
21,44.9488602536149,38.2420152489764,44.8999309776525,52.1841486087826
22,45.5331848553383,38.7286642245087,45.4678224932588,52.7698464765627
23,46.0882885360213,39.1922187791345,46.0025557127788,53.3223600811025
24,46.616698800651,39.6444680965227,46.5132858220382,53.8847413198905
25,47.1206374190884,40.0766553066677,46.9811043043563,54.4404595506163
26,47.6020672792958,40.5024200571793,47.448955369646,54.9401232742516
27,48.0627306463282,40.897328997201,47.8993360414666,55.3963808813473
28,48.5041806460369,41.2471370196637,48.3269672524076,55.8399462409723
29,48.9278073594213,41.6106227009036,48.7334750672786,56.2786628501532
31,49.7264631633926,42.3100093709398,49.4567611198294,56.9966746341849
32,50.1036363173074,42.6080874427439,49.8092619443971,57.3386400468495
34,50.818303264689,43.1776167417845,50.4543369367813,58.1048360317319
35,51.1574043854776,43.4392492753154,50.7765240222555,58.4078397152682
37,51.8026559327911,43.9987444360341,51.3648341741973,59.000523673796
39,52.4080052389093,44.4810255292462,51.9295513087897,59.561500652438
40,52.6970527420583,44.6620197979775,52.1532931783406,59.8607405334896
42,53.2502193518365,45.056704843175,52.633124639915,60.4636501901286
44,53.7728646253103,45.4554886243048,53.1105578526751,60.9795934931305
46,54.2678607733099,45.8457105129991,53.5587668746888,61.4479524258671
48,54.7377051695763,46.1749046935714,53.9678328742802,61.9117813159208
