"m","estimate_t","lower95_t","median_t","upper95_t"
51,55.4000167908624,46.6527736052443,54.5757427461203,62.489060756761
53,55.8159718296565,46.98660312325,54.9510485439637,62.8724424682598
55,56.2133518762642,47.2570579673212,55.3075176105283,63.2535819472188
58,56.777661317705,47.6435934379007,55.856535492171,63.8151258608328
61,57.3075189246566,47.9809830250674,56.3635149280788,64.3312293428663
63,57.6433958327259,48.1801312839736,56.595061375596,64.6567939502344
66,58.123484008774,48.5582467934396,56.9821607226428,65.1408534409921
69,58.5775259197494,48.8869054355671,57.4200686108457,65.5717831674069
73,59.1464984060438,49.3383644772133,57.9247581337616,66.1151859122794
76,59.5485703858133,49.6462737443948,58.2956320493186,66.4797037683505
79,59.9314844661589,49.9313670958581,58.6344694016854,66.8770920117373
83,60.4148958583516,50.2176247850538,59.050575395922,67.2958082733949
87,60.8702027032939,50.5006344537237,59.4882794748254,67.7768668738799
91,61.3001628989301,50.8335131462712,59.9304870195712,68.1693773411881
95,61.7071612304601,51.1063930546365,60.3534899892484,68.5659689246999
100,62.1867548484938,51.3334495445624,60.8542023029534,69.1783697822199
104,62.5492847517645,51.5204237415804,61.2425706755369,69.590013131853
109,62.9785577890516,51.7431487350384,61.6836981110424,70.0722145433985
114,63.3837312671728,51.98015281248,62.1279001135081,70.5369561354063
119,63.7670859412419,52.1891562623312,62.5533051068513,70.9217524939957
125,64.2010850103897,52.446699971941,63.0174497742206,71.4020654567872
130,64.5430714440388,52.698470558769,63.4176811751549,71.7665770481992
137,64.9947781840765,53.0553679373406,63.9072136516089,72.2126811700618
143,65.3592059774502,53.2978985266728,64.3379614407768,72.6024539583488
149,65.704658859743,53.5204214269093,64.7137585056908,73.0617853112375
156,66.085916586549,53.7901257450613,65.1312159806847,73.6366760948443
163,66.4459101316598,53.99002504522,65.5349949108679,74.0690590318556
171,66.8338386749583,54.1113411561245,65.9518545121718,74.541646506735
179,67.1991577956462,54.407491759724,66.3885324091707,75.0255718270353
187,67.5440768291896,54.6312648355988,66.7817738147736,75.4675672581529
196,67.9100978273035,54.8832174351381,67.1786201560328,75.9053019892481
205,68.2550675271209,55.105471468131,67.5466934217904,76.2730147184011
214,68.581014884144,55.3396987739314,67.9018126264015,76.6335450862912
224,68.9230015489001,55.5053908786157,68.2836543732117,77.0905109734305
234,69.2457644485852,55.6604737366649,68.6202326819367,77.6030990038568
245,69.5807541743961,55.8262466566462,68.9814919757144,78.1113927336352
257,69.9246043681764,56.0245312181014,69.3505113933318,78.5469710199798
268,70.221935714073,56.1699875126183,69.6600493843471,79.0429626425161
281,70.5534678509671,56.3572131944432,70.0129555515802,79.5589125847051
294,70.8655704765341,56.578075562215,70.3453014155313,80.0575862325946
307,71.1601455384183,56.7657689171151,70.6721232135958,80.5886447440377
321,71.4596621833097,56.9412941065702,71.0050410456136,81.1134316986911
336,71.7621510246152,57.0599743961409,71.315510303645,81.6117152745878
352,72.0658767299629,57.1902165921672,71.6460908472712,82.1817879506248
368,72.3519935476918,57.2916078480155,71.9618424060463,82.4915080932893
385,72.6386000380699,57.4098618514849,72.2552129661783,82.9740376068798
403,72.9244497078858,57.5328482572079,72.5489354348263,83.4838563246564
421,73.1939491257381,57.6531418293325,72.8029363997324,83.9605650239775
441,73.4761073504929,57.7589007061445,73.0793536731465,84.6006837241363
461,73.7418488446322,57.8726146639058,73.3143675086838,85.166378913194
482,74.0049475429141,57.9752082496028,73.5363512907878,85.8519240383794
504,74.264774594749,58.1136285591912,73.7795525075387,86.3938279632651
528,74.5316058652986,58.2559285792851,74.0108523078768,87.1378796574682
552,74.7828121539838,58.3517829529468,74.2231420743681,87.8778364000531
577,75.029509782744,58.4383627796467,74.4410030812668,88.5148036863036
604,75.2804652428037,58.5062200734152,74.64561161311,89.1715981159677
632,75.5254169838264,58.5706300791354,74.8466596121972,89.6706857607491
661,75.7643274620613,58.6326008981442,75.0388831595176,90.2965005934174
691,75.9971994769041,58.6835045157585,75.2368767318487,90.9285755186939
723,76.2311700968719,58.745565947467,75.4341000504066,91.5175128929813
757,76.4650682990678,58.8033355313178,75.6107718068997,92.1600347186472
791,76.6853259206318,58.8554411887039,75.8186779783379,92.6453436288618
828,76.9110606936695,58.9228274506174,76.0110758484536,93.2143269725056
866,77.1292500992162,58.9665741881964,76.182868354402,93.7389092710092
906,77.3454733231739,59.0297288460257,76.3455515901795,94.3340636912676
948,77.5591380614303,59.0999005288541,76.5382011721086,94.8240976930146
991,77.7651084534487,59.177411069687,76.7028205684063,95.3627509046924
1037,77.9725550079345,59.2332575831425,76.9058795395041,95.8887190481487
1085,78.1762231998419,59.2703203198662,77.0615398339503,96.4608836584437
1135,78.3758682284628,59.3219911821627,77.2136699994582,97.0167371620972
1187,78.5713068495343,59.3697279944254,77.3804007404346,97.574448752197
1242,78.7658414686422,59.4150271205325,77.5380290092357,98.1573436077681
1299,78.9555540432944,59.4587074391337,77.6973272621165,98.7924970008769
1359,79.1434772234723,59.49429038422,77.860605861965,99.410607192847
1422,79.3290989708143,59.5422213798185,78.0328561066915,99.965429548486
1487,79.5093086047034,59.5900865112209,78.1820960523679,100.447835639432
1556,79.6893024671858,59.6416389927927,78.3183630987564,100.886820117778
1628,79.8659511686192,59.6949534236571,78.4807956145092,101.31364875716
1703,80.0390462934156,59.7411741077585,78.6380322614178,101.792744659248
1781,80.2084329920675,59.7623060252712,78.7926699303802,102.370875032222
1863,80.3759851323521,59.7828330510358,78.9337305000648,102.942501050823
1949,80.5412833530359,59.8081057622447,79.0934271098289,103.504597050005
2039,80.7039848118369,59.8341130249365,79.2058319534511,104.056168947316
2133,80.8638144858095,59.8593323099932,79.3450606634981,104.67561219943
2231,81.0205568772165,59.87747437359,79.4755904272695,105.388380717956
2334,81.1755076794386,59.8903630756111,79.5942972588651,105.876201778287
2442,81.3282885759652,59.902845073041,79.7077389876515,106.374748335313
2554,81.4773014271815,59.9148037179798,79.8141513948867,106.91112111968
2672,81.6249579092036,59.926773043811,79.9204967768861,107.406675495278
2795,81.7696947510812,59.9346116226456,80.0313079325167,107.890252129265
2924,81.9124415570923,59.9382525673748,80.1275165412025,108.44688916356
3059,82.0529041976011,59.9411089160976,80.2138137799314,108.869781816968
3200,82.1908473809388,59.950028735082,80.3241594255557,109.322199329495
3347,82.3260873996375,59.9523766568637,80.4275901509115,109.770023925459
3502,82.4601634376498,59.9546316000416,80.5421872982403,110.223307643099
3663,82.5910981550553,59.9567648958272,80.6314336490913,110.681181526615
3832,82.7203274613613,59.9686328548655,80.7388002060104,111.161439199598
4008,82.8468690424821,59.9751909034943,80.8281437250842,111.600541539524
4193,82.9719295136317,59.9771513408986,80.9273170897689,112.164435131687
4387,83.0952030343254,59.9850532151545,81.022953950359,112.670277259684
4589,83.2158620922385,59.9919898074371,81.1139650671812,113.171243085013
4800,83.3343575796229,59.9938824467826,81.1870111572808,113.669015381961
5022,83.4515536651065,60.0011204954826,81.2808344706442,114.175968695487
5253,83.5661834245266,60.0082700279447,81.3553590248105,114.68931354526
5495,83.6790762501686,60.0156770265401,81.4441827124737,115.201384584892
5748,83.7900228405131,60.0228425994684,81.5286774300965,115.728944781232
6013,83.8992577575032,60.0559322465582,81.5955852142655,116.254999601798
6291,84.0069582330988,60.0911273054877,81.6843014620814,116.780294576293
6581,84.1125475099385,60.1173060981491,81.7919947723857,117.301867112342
6884,84.2162425739804,60.1333141053489,81.8436142175532,117.820600836189
7201,84.3182125899123,60.1451950138384,81.8988616918302,118.35487927037
7533,84.418586640051,60.1567302246298,81.97043403619,118.891980891189
7880,84.5171849322751,60.1679067720369,82.0259861035449,119.426597777594
8244,84.6143842449992,60.1787744897801,82.0740184363933,120.002540151977
8624,84.7097406611816,60.1874580864842,82.1362001786189,120.590190387289
9021,84.8033669400003,60.1909669247089,82.2312121335051,121.189581471146
9437,84.895566053831,60.1940599019757,82.329130254976,121.805144246079
9872,84.9861649662365,60.1970395398076,82.398339896267,122.419346983443
10327,85.0752170451056,60.1999109121401,82.4464564075732,123.032357792873
10803,85.1627619684718,60.2026784504317,82.5057339640038,123.64426280918
11301,85.2488284784238,60.2053460783068,82.5699224836662,124.148703835281
11822,85.3334367378,60.2079173214233,82.6340791050316,124.613442494311
12367,85.4166003375715,60.2103953964892,82.7159343789535,125.075587910853
12937,85.4983279961728,60.2127832827388,82.7819706571505,125.535057766379
13533,85.5786249869564,60.2150837786842,82.8429847000497,126.02449385809
14157,85.6576170462028,60.2214362326186,82.9047417868008,126.394721029046
14810,85.735283681441,60.2279570940052,82.9653428550156,126.758937474073
15492,85.8114982887447,60.2342666198089,83.0214980593554,127.1745702609
16206,85.8864683951756,60.2403865136963,83.05883844644,127.678529926508
16954,85.9602571654078,60.2463259214642,83.1147848222568,128.191397232247
17735,86.0326404627705,60.2520710044632,83.1597679928149,128.701238618216
18552,86.1037825740335,60.2576390406737,83.2221531531223,129.209040460038
19408,86.1738099274381,60.2630436214745,83.2977528765942,129.5973093823
20302,86.2425192322198,60.2682728227522,83.3446477314679,129.955698640797
21238,86.3101029515917,60.2733450195262,83.3873743417426,130.311393794053
22217,86.3765111177909,60.2782599086519,83.4292866899073,130.670697621626
23241,86.4417653941477,60.2830225337558,83.4710664183971,131.112826949755
24313,86.5059394871863,60.2872424828865,83.5062161347333,131.604656726409
25433,86.5689249552321,60.2909038005322,83.5315182369944,132.144582683043
26606,86.6308937491756,60.2944521214924,83.5657020898816,132.693280866761
27832,86.6917364754465,60.2978838809743,83.5962367782874,133.304015011307
29115,86.7515485776798,60.3012071360475,83.6266814385256,133.913959600062
30457,86.8103177960014,60.3039030149326,83.6653172774368,134.522800113396
31861,86.868073410131,60.3057406848448,83.6989541512511,135.130646267028
33329,86.9247994954673,60.3075137124716,83.7318870611362,135.737131666639
34866,86.9805886522594,60.3092266693368,83.7625090083301,136.208288709457
36473,87.0353786780265,60.3108792652232,83.7795987482189,136.643655608786
38154,87.0892138190725,60.3124744376395,83.8010354882586,137.07656984633
39913,87.1421275233468,60.3140146881275,83.8380387675453,137.507176619134
41753,87.1941170998348,60.315501395947,83.8768414705244,137.935330818873
43677,87.2451795150254,60.3169359081966,83.9129927291576,138.360879515758
45691,87.2953843714637,60.3183215369172,83.9450233318093,138.784280817646
47797,87.3446934352972,60.3193134183614,83.9888917348546,139.205091164157
50000,87.3931403854976,60.320260831377,84.0248352774342,139.623472383974
