"m","estimate_t","lower95_t","median_t","upper95_t"
10,35.2740454741069,31.3885312618926,38.2218550976487,48.5248842996701
11,36.5429703812072,32.6013695550249,39.9196728922282,50.8649133030223
12,37.6972978845968,33.7942804124919,41.424075674783,52.9117461265043
13,38.7546082703812,34.8672832203826,42.8148911273258,54.7510286363649
14,39.7287957851701,35.8443724211419,44.1174690325683,56.2179117557383
15,40.6310251338198,36.7486547928036,45.3132737629576,57.7067345419022
16,41.4703974960087,37.5835143675839,46.4154277626358,59.0148678658733
17,42.2544257162791,38.4318904135835,47.4455335649133,60.2885557300836
18,42.9893806216117,39.2002561700949,48.3929947608832,61.407951987778
19,43.6805481777643,39.9132277817217,49.2592119147757,62.7432815956881
20,44.3324236298132,40.5904120671476,50.1025498788433,63.6316785002751
21,44.9488602536149,41.2370961620107,50.8874697958329,64.5308645141861
22,45.5331848553383,41.7957579871063,51.6639395019318,65.3600352204058
23,46.0882885360213,42.4296677304296,52.3919606603572,66.2354540411467
24,46.616698800651,42.9685247456472,53.0345020622067,67.1515537001005
25,47.1206374190884,43.454005154331,53.7167202764138,68.0589195349644
26,47.6020672792958,43.9759773708476,54.3622088355365,68.7729351883633
27,48.0627306463282,44.3779286836481,54.9255127768073,69.6110098710638
28,48.5041806460369,44.7699843946235,55.5026604081745,70.2734649219819
29,48.9278073594213,45.1574973414674,56.0305528871239,70.9907455299443
31,49.7264631633926,45.8829664414803,57.070747758036,72.2042975599917
32,50.1036363173074,46.2905177023255,57.5664026298569,72.9153737866813
34,50.818303264689,47.0041263293715,58.4602836336856,74.2350312278224
35,51.1574043854776,47.2720687474958,58.9033390058693,74.8254209745167
37,51.8026559327911,47.87448639197,59.7334915398664,76.0806605867972
39,52.4080052389093,48.3548420046942,60.528347892554,77.1661820092839
40,52.6970527420583,48.655863086484,60.8970701811568,77.7132468306826
42,53.2502193518365,49.1682276755495,61.6259192462536,78.7973669389754
44,53.7728646253103,49.6401319955191,62.2955547123383,79.8191777743009
46,54.2678607733099,50.0996319615398,62.9291436574893,80.8793497012396
48,54.7377051695763,50.4333748140141,63.5555117454679,81.8503070088082
51,55.4000167908624,50.8999165465632,64.4252573457581,83.2972847595831
53,55.8159718296565,51.3002171470595,64.973675633006,84.0099859596392
55,56.2133518762642,51.6976333878025,65.4957061465279,84.7668766889052
58,56.777661317705,52.0868541247269,66.2021752341433,85.9676589703983
61,57.3075189246566,52.5169580932784,66.915228725183,87.1560125353141
63,57.6433958327259,52.8111850950254,67.3787368634432,87.9751711346729
66,58.123484008774,53.2556637079982,68.0232640322758,88.9914538522404
69,58.5775259197494,53.609782202866,68.5823128164931,90.0150838163648
73,59.1464984060438,54.0657829518453,69.2937135942378,91.3503904933758
76,59.5485703858133,54.3229403539592,69.8151583824354,92.3905052079142
79,59.9314844661589,54.5497317920793,70.3276777465482,93.3393476423355
83,60.4148958583516,54.8330573374676,70.9421322538815,94.598359313512
87,60.8702027032939,55.1853509910401,71.4974845404449,95.6841875440209
91,61.3001628989301,55.6008458477966,72.0482301316146,96.7689732673695
95,61.7071612304601,55.9291587245636,72.5692919366561,97.771324380313
100,62.1867548484938,56.3615023340736,73.1867463336752,99.0459945077989
104,62.5492847517645,56.5611634384679,73.6385774332615,100.079885292823
109,62.9785577890516,56.8283910759107,74.1971687670232,101.394442566541
114,63.3837312671728,57.0746420847161,74.7210204173948,102.588807708645
119,63.7670859412419,57.3074001602669,75.1917436911732,103.577342630821
125,64.2010850103897,57.5015614602225,75.7324338021283,104.829736917961
130,64.5430714440388,57.6353847004036,76.1315574362118,105.685252432511
137,64.9947781840765,57.908586254165,76.6566179719399,107.109966080241
143,65.3592059774502,58.1431203453011,77.1085739015595,108.345389142837
149,65.704658859743,58.2463898082371,77.5233671975103,109.583402838529
156,66.085916586549,58.3319286902881,78.0034751514783,110.953033588998
163,66.4459101316598,58.5276918527881,78.4271098381679,112.172398440418
171,66.8338386749583,58.6944127459843,78.8573980457079,113.307779886514
179,67.1991577956462,58.8671981865357,79.3031674941317,114.621904938296
187,67.5440768291896,59.0115150915379,79.6803043590179,115.789897666139
196,67.9100978273035,59.1588593794803,80.1425540154795,117.083290244976
205,68.2550675271209,59.2258088629639,80.5832534420924,118.332572417612
214,68.581014884144,59.3000268453677,80.9686115665785,119.519019225495
224,68.9230015489001,59.5053977095602,81.3862024540053,121.008328951349
234,69.2457644485852,59.6351147892948,81.726509006487,122.394476051111
245,69.5807541743961,59.7822092173911,82.1137792749403,124.077489207854
257,69.9246043681764,59.9205631277657,82.5858272264188,125.732390787772
268,70.221935714073,60.0232163869666,82.9650310878818,127.030892930289
281,70.5534678509671,60.1761903692199,83.3465227509094,128.597901646328
294,70.8655704765341,60.2524611558178,83.7006480755535,130.150283162066
307,71.1601455384183,60.3234933008185,84.0399369984113,131.332652879984
321,71.4596621833097,60.469252098472,84.388418467305,132.89971629681
336,71.7621510246152,60.6089527242671,84.6986662002048,134.212822769989
352,72.0658767299629,60.689406954309,85.036507251718,135.881521055482
368,72.3519935476918,60.767171573481,85.3926143215924,137.252560302813
385,72.6386000380699,60.932498998076,85.781957378983,139.153784147266
403,72.9244497078858,61.0440204599628,86.1058087009907,140.848817756292
421,73.1939491257381,61.1413832538199,86.3924728169007,142.62337538382
441,73.4761073504929,61.2231357049411,86.7064169573149,144.052721006527
461,73.7418488446322,61.2981138594018,87.0324974229776,145.610104491233
482,74.0049475429141,61.366561231895,87.3611529012122,146.966119332189
